#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery3
#Serial Number: SN:210415BCF32A
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 50000 Hz
#Stop: 100000 Hz
#Steps: 2001
#Order: W1-C1-DUT-C2-R-GND
#Resistor: 100 O
#Average: 1
#ProbeResistance: 1.008e+06 O
#ProbeCapacitance: 4e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.02 s
#MinPeriods: 2
#Scale: Logarithmic
#ScopeC
#SChannel: 1 
#Range: 5.19029 V
#Offset: -0.000201859 V
#Attenuation: 1 X
#ScopeC
#SChannel: 2 
#Range: 5.18513 V
#Offset: -0.000198608 V
#Attenuation: 1 X

Frequency (Hz),Trace M (dB),Trace th (deg),Trace |Z| (Ohm),Trace Rs (Ohm),Trace Xs (Ohm),Trace Rp (Ohm),Trace Xp (Ohm),Trace Gp (S),Trace Bp (S),Trace Ls (H),Trace Lp (H),Trace Cs (F),Trace Cp (F),Trace Vrms (V),Trace Vreal (V),Trace Vimag (V),Trace Irms (A)
50000.00000000001,19.4399931375473,-87.89282978101487,1028.83271140714,37.82891158645468,-1028.137014949638,27981.1578940691,1029.528878612757,3.573833519634156e-05,0.0009713180667136354,-0.003272661762099615,-0.003277092201741522,3.095987028532209e-09,3.091801432638768e-09,0.7041687314313043,0.02677559424260424,-0.7036594843235809,0.0006844340851000177
50017.33168269227,19.44188157166571,-87.84503605258745,1028.954424413659,38.69110365774155,-1028.226728896983,27364.09942931682,1029.682634934224,3.654423207250297e-05,0.000971173025622482,-0.003271813209895654,-0.003276445896900516,3.094644192331672e-09,3.090268561423789e-09,0.7041452441283291,0.02736194178260921,-0.703613422960669,0.0006843302979957619
50034.66937312904,19.4375872943701,-87.79397049524984,1028.400039228294,39.58616776307163,-1027.637862287387,26716.57047013669,1029.162781459475,3.742995386020007e-05,0.0009716635871556499,-0.00326880636048056,-0.003273656965612845,3.095344563545183e-09,3.090758165402728e-09,0.7039788144219904,0.02798272589079923,-0.703422446476306,0.000684537369767946
50052.01307339279,19.43511546435454,-87.80051038982907,1028.143436705864,39.45902202775996,-1027.3859605922,26789.28346723027,1028.901471295198,3.732835935023198e-05,0.0009719103606112873,-0.00326687268005982,-0.003271691687425959,3.095030660047406e-09,3.090471863872779e-09,0.7041786000429084,0.02791066042160217,-0.7036252523845491,0.000684902531942195
50069.36278556673,19.43381636929968,-87.8221503438938,1028.040207042539,39.06706453171611,-1027.297635432371,27052.62552905816,1028.783315413015,3.696498881137675e-05,0.0009720219846280653,-0.003265459906208531,-0.003270182421128181,3.09422420284553e-09,3.089755791582516e-09,0.7041000930523245,0.02764213200283104,-0.7035572852118227,0.0006848949397713368
50086.7185117348,19.42525775536727,-87.82206695427109,1027.113080844962,39.03332615505509,-1026.371122105499,27027.19406109858,1027.855575942822,3.699977133176927e-05,0.0009728993288602135,-0.003261384302738736,-0.003266101285065025,3.095944225038926e-09,3.091472987646668e-09,0.7042112852876626,0.02764782832024681,-0.7036683394296464,0.000685621418496953
50104.08025398164,19.4170921645871,-87.85428166950464,1026.28547388341,38.42525341668064,-1025.56587979708,27410.66825201125,1027.00557287699,3.64821459588686e-05,0.000973704550792905,-0.003257696347457109,-0.003262269513335844,3.097301434868886e-09,3.092959527132508e-09,0.7041208786263576,0.02724899278746677,-0.7035934224462467,0.0006860862190759697
50121.44801439264,19.41113605571551,-87.86454772469612,1025.659325750078,38.21816397269251,-1024.94703494408,27525.57797516799,1026.372111565257,3.632984567670633e-05,0.0009743055064843509,-0.003254602440294413,-0.003259127608611176,3.098097625677106e-09,3.093796041050315e-09,0.7042857019592855,0.0271295811691556,-0.703762982693655,0.0006866657627954279
50138.82179505389,19.40661002552799,-87.81235170248524,1025.079570384373,39.12973634166543,-1024.332460362964,26853.95363884754,1025.827225320061,3.723846452737512e-05,0.0009748230260587953,-0.003251523841199058,-0.003256268652169189,3.098882232086232e-09,3.094366753794798e-09,0.7041463477984184,0.02776550490398876,-0.703598717917591,0.0006869181761009664
50156.2015980522,19.40011514707245,-87.80425867027508,1024.364141339188,39.24701235438026,-1023.612019313386,26736.3508994452,1025.116816003618,3.740226195268669e-05,0.0009754985816138155,-0.003248111050903995,-0.00325288605028529,3.099988734338196e-09,3.095438177060854e-09,0.7040811363069334,0.02786261467201468,-0.7035296164390674,0.0006873342677722714
50173.58742547514,19.39502013929572,-87.86847714369574,1023.925855398251,38.08339783451421,-1023.21738265259,27529.69054675247,1024.634818688384,3.632441847836043e-05,0.0009759574648069073,-0.003245733714947112,-0.003250229944202159,3.100109742232597e-09,3.095821182851823e-09,0.7039680358787751,0.02707002288340032,-0.7034473750040671,0.0006875180195734784
50190.97927941096,19.39549699217998,-87.77518128771828,1023.815186394241,39.74517555811469,-1023.043428653607,26372.95020520962,1024.587526329132,3.791763880107972e-05,0.0009760025125259685,-0.003244057418395388,-0.003248953732059811,3.09956245918536e-09,3.094891284624491e-09,0.7039511051417928,0.02821505265413744,-0.7033854343346013,0.0006875757993600337
50208.37716194867,19.38737808675965,-87.79647234402167,1022.97662595934,39.33276878392603,-1022.22018692596,26605.83553138564,1023.733624754714,3.758573936985919e-05,0.0009768166013298617,-0.003240323724322372,-0.003245121153060838,3.100983776469017e-09,3.096399433393654e-09,0.7039946002109819,0.02795570809206662,-0.7034393189972333,0.000688181940782918
50225.78107517795,19.37588224870385,-87.81509309095453,1021.770665234725,38.95457521314267,-1021.027831846015,26800.83883913018,1022.514039060654,3.731226496313856e-05,0.0009779816822062053,-0.003235422585653002,-0.003240132063925018,3.103529313905665e-09,3.099018385467551e-09,0.7040522552701196,0.02772967197821353,-0.7035059654636359,0.0006890506044144192
50243.19102118928,19.36264314863009,-87.7983790339765,1020.317563489704,39.19660054585781,-1019.56439564709,26559.64843552184,1021.071287708946,3.765110078274092e-05,0.0009793635488896911,-0.003229665753102762,-0.003234439122697245,3.106907019700296e-09,3.102321861365841e-09,0.7040820838197833,0.02793638558791802,-0.7035276391985545,0.0006900611611367586
50260.6070020738,19.36624279881137,-87.81395459538822,1020.731547680727,38.93522698426837,-1019.988696275785,26759.64603600911,1021.474940099713,3.736970207507044e-05,0.0009789765374982014,-0.003229890218067819,-0.003234596549036091,3.104538453554389e-09,3.100021356833159e-09,0.7040806377496373,0.02774538513658601,-0.7035337504750987,0.000689779871829748
50278.02901992342,19.35196091531395,-87.86369223341991,1019.283499501374,37.9957961386428,-1018.575069315737,27343.5210717729,1019.992422408012,3.657173475848778e-05,0.0009803994402617093,-0.003224296185666514,-0.003228782812432509,3.107769822171273e-09,3.103451351689761e-09,0.704025027749916,0.02713281212554179,-0.7035019901922311,0.0006907052514157693
50295.45707683073,19.34893242075907,-87.85850221590685,1018.949386640909,38.07557650251232,-1018.237743854492,27268.34227887207,1019.661526791972,3.667256299532427e-05,0.0009807175947357445,-0.003222111490698342,-0.003226616909389413,3.107722134254597e-09,3.103382731783364e-09,0.7041289390433056,0.02720085951859166,-0.7036033513562177,0.0006910337116243011
50312.8911748891,19.35025630089701,-87.88389515112992,1019.135538039569,37.63117322603069,-1018.44054303471,27600.44813529075,1019.831007316648,3.623129577817871e-05,0.0009805546142700381,-0.003221636500787424,-0.003226034961271318,3.106026648983518e-09,3.101791810972932e-09,0.7043713284689231,0.02689859131591217,-0.703857538252092,0.0006911453277398218
50330.33131619257,19.3476416965093,-87.79240583398706,1018.695979468651,39.24042813807594,-1017.939923269117,26445.72314384738,1019.452597215055,3.781329761945461e-05,0.0009809185858487234,-0.003218937096619941,-0.003223720485274189,3.106477373862378e-09,3.101867951707857e-09,0.7039690856307207,0.02800677468933985,-0.7034117528839374,0.0006910486904149724
50347.77750283595,19.32602626558465,-87.84239579264252,1016.466362189344,38.26833003281435,-1015.745736087008,26998.92743102419,1017.187499543621,3.703850838351861e-05,0.0009831029190278762,-0.003210885620793435,-0.003215443195968947,3.112109142690624e-09,3.107698033394712e-09,0.7041069598777832,0.02739871829617021,-0.703573678575358,0.0006927001448159254
50365.22973691474,19.32191422366474,-87.83710888018018,1016.017114741437,38.34510195094027,-1015.293273199368,26921.05966410661,1016.741472337923,3.714564034540152e-05,0.0009835341895718811,-0.003208343215382861,-0.003212919548156213,3.112417177745804e-09,3.107983995862044e-09,0.7041041896873194,0.02746384027669785,-0.7035683672625516,0.0006930037058374072
50382.68802052521,19.32054970296007,-87.84031524008684,1015.876672283868,38.28299198875434,-1015.155074761947,26957.28206389141,1016.598782735288,3.709572788643535e-05,0.0009836722382348061,-0.003206794923037182,-0.003211355482812093,3.111762246064871e-09,3.107343122176392e-09,0.7042765089797437,0.02743148796002377,-0.7037420795781606,0.0006932691375715514
50400.15235576432,19.3158317293437,-87.80071609368952,1015.303315733029,38.96258974400907,-1014.555439361952,26457.19470166857,1016.051743398836,3.779690217636464e-05,0.0009842018445388023,-0.003203790180542117,-0.003208515249271223,3.112522494137483e-09,3.107938790597651e-09,0.7042921515315422,0.02791879143044216,-0.703738570631163,0.0006936760431168696
