#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery3
#Serial Number: SN:210415BCF32A
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 50000 Hz
#Stop: 100000 Hz
#Steps: 2001
#Order: W1-C1-DUT-C2-R-GND
#Resistor: 100 O
#Average: 1
#ProbeResistance: 1.008e+06 O
#ProbeCapacitance: 4e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.02 s
#MinPeriods: 2
#Scale: Logarithmic
#ScopeC
#SChannel: 1 
#Range: 5.19029 V
#Offset: -0.000201859 V
#Attenuation: 1 X
#ScopeC
#SChannel: 2 
#Range: 5.18513 V
#Offset: -0.000198608 V
#Attenuation: 1 X

Frequency (Hz),Trace M (dB),Trace th (deg),Trace |Z| (Ohm),Trace Rs (Ohm),Trace Xs (Ohm),Trace Rp (Ohm),Trace Xp (Ohm),Trace Gp (S),Trace Bp (S),Trace Ls (H),Trace Lp (H),Trace Cs (F),Trace Cp (F),Trace Vrms (V),Trace Vreal (V),Trace Vimag (V),Trace Irms (A)
50000.00000000001,18.94844904480977,-87.9677901220937,977.1302505615272,34.65032568419652,-976.5156842019549,27554.82113687304,977.7452036960551,3.629128982665868e-05,0.00102276134540964,-0.003108345962950107,-0.003112259645052384,3.259649500088935e-09,3.255550474505231e-09,0.7040901542188321,0.02585208541661152,-0.7036153885095969,0.0007205688269274795
50017.33168269227,18.94460515770762,-87.98916247316167,976.7733535468761,34.27354246489961,-976.1718642155782,27837.39629996852,977.375213498788,3.592289987268424e-05,0.001023148516750512,-0.003106174845206718,-0.003110003897662053,3.259667679049729e-09,3.255654359793305e-09,0.7039730596143977,0.02558567319049006,-0.7035079544612455,0.0007207122317054074
50034.66937312904,18.94948538369763,-88.0273129908302,977.3398395745738,33.64304898056255,-976.7606192281429,28391.99153951598,977.9194033994406,3.522119956284855e-05,0.001022579157877227,-0.003106971280420749,-0.003110657249192988,3.256574034319756e-09,3.25271516166572e-09,0.7039420205523182,0.02511643433446438,-0.7034938045396014,0.0007202627331639534
50052.01307339279,18.93551404884733,-87.96305080357909,975.7967716323566,34.6837025819105,-975.180178379021,27453.22063812023,976.413754749277,3.642559877333472e-05,0.00102415599446034,-0.003100869201138344,-0.003104791716237182,3.260721575597113e-09,3.256602062669243e-09,0.7037775744744859,0.02589970253216536,-0.703300845827684,0.0007212331893362351
50069.36278556673,18.9330479780676,-87.94183585182998,975.5074569995109,35.03439045021408,-974.8781411783908,27162.30499325949,976.1371790646384,3.681572680404541e-05,0.00102444617564739,-0.003098834625582769,-0.00310283671572309,3.260601579638008e-09,3.256396001765586e-09,0.7039262438811369,0.02616594537933389,-0.7034397629698023,0.0007215994932693753
50086.7185117348,18.9263550150869,-87.97131284236036,974.8739317665252,34.5104130412137,-974.2629081668091,27538.91069640178,975.4853385788589,3.631225690167401e-05,0.001025130732827677,-0.003095805880545045,-0.003099690260445437,3.261530046554118e-09,3.257442856966491e-09,0.7039803244928483,0.02580633218550722,-0.7035071644924359,0.0007221239012496618
50104.08025398164,18.92001764083616,-87.97168498059095,974.2266985270074,34.48117739337471,-973.6163045719804,27525.67434965832,974.8374751592542,3.632971847653982e-05,0.001025812020446419,-0.003092679214187971,-0.003096558246281522,3.262565197533857e-09,3.258478209948936e-09,0.7039807624442889,0.02580208587448284,-0.7035077584903866,0.000722604097652682
50121.44801439264,18.92124728526594,-88.01527436385976,974.4280561497274,33.74743500375001,-973.8434921702789,28135.76902974187,975.0129710223623,3.554194658560482e-05,0.001025627381091594,-0.003092328967276975,-0.003096042514022413,3.260673815592762e-09,3.256762801909653e-09,0.7040259515165622,0.02526879403061987,-0.7035723334931803,0.0007225011519368311
50138.82179505389,18.90720270741342,-87.96047330513471,972.8985590400656,34.62442752940593,-972.2822405045239,27337.10486269739,973.5152682528422,3.658031839957352e-05,0.001027205255645029,-0.003086301574641772,-0.003090215556943081,3.264777992366502e-09,3.260642914070389e-09,0.7040781264657185,0.02594395011804648,-0.7035999713045394,0.0007236906263515756
50156.2015980522,18.90160566623409,-87.94853708553917,972.3068462844419,34.80579714960272,-971.6836727126674,27161.58458512386,972.9304195184845,3.681670326950256e-05,0.001027822730113539,-0.00308333276258133,-0.003087288921752234,3.265657144722855e-09,3.26147241832064e-09,0.7037519198708524,0.02607874710520453,-0.7032685572889872,0.0007237955420495897
