Experiment,Start_Freq,End_Freq,N_Points,Single_Intra_Avg,Single_Inter_Avg,Multi_Intra_Avg,Multi_Inter_Avg
10k-1000k (N=2001),10000,1000000,2001,8.216949152542371,64.10576497930957,5.019209039548023,64.12576006651172
10k-1000k (N=500),10000,1000000,500,8.342372881355933,64.08827541900497,5.237288135593221,64.09466205619485
10k-1000k (N=100),10000,1000000,100,23.37627118644068,64.08994954934528,18.47457627118644,64.09144606314835
10k-100k (N=1000),10000,100000,1000,10.355932203389829,64.12552576384559,3.92090395480226,64.11865162594712
10k-100k (N=250),10000,100000,250,11.464406779661017,64.10783969162746,4.813559322033899,64.1101109158589
10k-100k (N=50),10000,100000,50,28.37627118644068,50.079281219885495,25.98983050847458,50.00885437333485
20k-35k (N=100),20000,35000,100,47.5864406779661,63.96851652400657,31.224858757062147,64.05448670710278
20k-35k (N=25),20000,35000,25,16.17627118644068,24.94753131908622,1.9423728813559322,12.460177994444757
60k-95k (N=500),60000,95000,500,31.706214689265536,64.05245356461275,17.491525423728813,64.07391493301589
60k-95k (N=100),60000,95000,100,33.227118644067794,64.04395442435236,23.42598870056497,64.07276609413678
80k-95k (N=150),80000,95000,150,48.83728813559322,63.95724732158041,38.04406779661017,64.06433119815581
80k-95k (N=20),80000,95000,20,11.525423728813559,19.99760784536024,0.535593220338983,10.0175840371861
100k-1000k (N=500),100000,1000000,500,7.698305084745762,64.13453507926609,4.76271186440678,64.11910889405364
100k-1000k (N=50),100000,1000000,50,27.684745762711866,50.04526954254294,26.671186440677968,50.0535797290403
