device,test_file,gen_id,intra_hamming,best_match,best_dist,match_pool
10,10_6.csv,0010100100000000011101110001010000001110011101010110110011011111,1,10,1,True
11,11_6.csv,0011010100001110110001111001010101011010010110011010011001010010,2,11,2,True
12,12_6.csv,1110101111001101011010101001010100011000101000101010000010011110,3,12,3,True
13,13_6.csv,0000000001011111001100101110010110001010100111100000111101010001,0,13,0,True
14,14_6.csv,0001110100101011010100001011001101000001110001000000011011001110,0,14,0,True
15,15_6.csv,0001101001101000101001001100110010001010111111100000100001000010,6,15,6,True
16,16_6.csv,0000100001111000101000000000100100011001110000011011001110001001,2,16,2,True
17,17_6.csv,0001010101111100010000100101100101101101100011100111001010000010,3,17,3,True
18,18_6.csv,0010100001101110100110011110011000110101000001010111101000111101,1,18,1,True
19,19_6.csv,0000100011010001110000101101101001110101001100100101011110110010,2,19,2,True
1,1_6.csv,0000001111100011101101000001110101010100000110010001101101111000,3,1,3,True
20,20_6.csv,0000101001110111001011000011111001100010101101011100000010111010,2,20,2,True
21,21_6.csv,1111101000010110000111110101010111010100011101000101010001010111,5,21,5,True
22,22_6.csv,1101000011010110100011001000101010001001010111011001110010111010,0,22,0,True
23,23_6.csv,1110010100110100100111101111100011001100001101111010101110001110,1,23,1,True
24,24_6.csv,1100010000010000001010011111111111011000100010000100010010101010,4,24,4,True
25,25_6.csv,1111110110111010111010100111000110100001011010010100111110101110,1,25,1,True
26,26_6.csv,1111010001000111111111001111000100100111011010001011011000011000,4,26,4,True
27,27_6.csv,1110111010011110000101010100111100000011100000110011011110101000,0,27,0,True
28,28_6.csv,1100011011100101000001101000101110101100010011010110111000001001,0,28,0,True
29,29_6.csv,1110011110110001100000010000011111110001010110001010000001010110,2,29,2,True
2,2_6.csv,1111100100111111001000110001011111111111011111110001110110001101,34,21,23,False
30,30_6.csv,1111010011001010001100011001001110000110111100110011001110100110,0,30,0,True
31,31_6.csv,1101011001101111010100110101110001111100100010111001100010111111,1,31,1,True
32,32_6.csv,1110000111010000111011101110010101000110110001011101100001010001,3,32,3,True
33,33_6.csv,1111000111110011010111001101001001011010100100000110001101000000,2,34,0,False
34,34_6.csv,1101001000101010110110000010000001111011110100110011110011010111,31,2,25,False
35,35_6.csv,1101011000110000001111110010001010001001010100101110001111011000,1,35,1,True
38,38_6.csv,1100001110001010111000011111010001111110101101011100110000010011,24,38,24,True
39,39_6.csv,1100010011000001000000101010110100110011011001001100011100100101,0,39,0,True
3,3_6.csv,1101101001100001100001111110000101011101101110010001011000100000,4,3,4,True
40,40_6.csv,1110011110001101111100111000100001010001000111111101111001001010,1,40,1,True
41,41_6.csv,0010011010000001111111110100010111101111101101000110111110101000,0,41,0,True
42,42_6.csv,0010011010101111001000000110000001001110010000001111001000101111,0,42,0,True
43,43_6.csv,0011011110011100101010110001011000101101110001110001011101110100,0,43,0,True
44,44_6.csv,0011101010000101111101010011010011111100110000010001011101000111,2,44,2,True
45,45_6.csv,0010111100011001100011100100101010010010001011111101111011001000,1,45,1,True
46,46_6.csv,0011011100110100100000011001010000001110001010110110010010111001,3,46,3,True
47,47_6.csv,0001010101000111001001111010111101100000110100001001110000101000,0,47,0,True
48,48_6.csv,0001000011001011100010010000110110101000011000111011000000001001,3,48,3,True
49,49_6.csv,0010010001001000100111011101000101101010000000101000110111100000,0,49,0,True
4,4_6.csv,1101100101000001011000000110110010000011000000111111011101010111,0,4,0,True
50,50_6.csv,0011011111011001011001011110100110010011000101100010001110011110,2,50,2,True
51,51_6.csv,0001111000110011110100110010110000001001101010001101110111000110,1,51,1,True
52,52_6.csv,0011011111111110010111000010100110010101101000111100010000100001,2,52,2,True
53,53_6.csv,0010011100110011100001111101100010110011101100101100101100111001,0,53,0,True
54,54_6.csv,0011010111111010010010111011010110011111000110001001101001011011,2,54,2,True
55,55_6.csv,0011101000001101010100101111011001010101011010011011100001101000,0,55,0,True
56,56_6.csv,0001010101001011000101010011111111001001111011111111101100110110,2,56,2,True
57,57_6.csv,0000101000100111011011001001100111000101001010000010110001000110,1,57,1,True
58,58_6.csv,0001111010000110111100011001001100011010000001011010100001110001,0,58,0,True
59,59_6.csv,0010111101010001011101001100011011111011001010011010000111011011,1,59,1,True
5,5_6.csv,0000110111100100001111011110010010111000010010110000111010011000,11,5,11,True
60,60_6.csv,0001101101011100010110101110111101000110110110110111011110101101,1,60,1,True
61,61_6.csv,0011000011101110001010010101101101100001111001111110001110000011,1,61,1,True
62,62_6.csv,0011100010001001010000100111001010000000000110001101000111110001,0,62,0,True
63,63_6.csv,0011011011000010111001001111011000001101001111111011111010000101,0,63,0,True
64,64_6.csv,0010101110000011001110011111100010101000011001000101010001010101,1,64,1,True
65,65_6.csv,0010001101000111101100011110000010110111010101110100100111000100,0,65,0,True
66,66_6.csv,0010110000110001010011001011000110111110110111111101100110111000,2,66,2,True
67,67_6.csv,0011110010110001110111000010010011010000001011100001000100101101,0,67,0,True
68,68_6.csv,0011000010100010110010110111010001011110010011100010101110111010,1,68,1,True
69,69_6.csv,0011000110110010101101110101101010101111000010101110010000101110,1,69,1,True
6,6_6.csv,1101101100011110001001101001100000110100100111001010100101100011,2,6,2,True
70,70_6.csv,0010100000000110110011100100001101111011100110100000001111011011,1,70,1,True
7,7_6.csv,0100111101111110110010110011001011011101101111100011110001100100,4,7,4,True
8,8_6.csv,0001000010110100000000001000000111111110101000111000111100011100,2,8,2,True
9,9_6.csv,0011011110111010011001101110011011100010000011100011111001100010,1,9,1,True
