device,test_file,gen_id,intra_hamming,best_match,best_dist,match_pool
10,10_4.csv,1010101111000111111111101000111001011100110001110110010011100111,0,10,0,True
11,11_4.csv,1001011110111000000011111100111100110001101101010010101001001101,0,11,0,True
12,12_4.csv,0111100011101010110000111011111010111010110111100000100101111000,4,12,4,True
13,13_4.csv,1000001101010100111101011100111010111011101010100100111000000011,3,13,3,True
14,14_4.csv,1001111110101100010110010010001011110100100011010000101111101010,10,14,10,True
15,15_4.csv,1001100101101011001110000111010111011010111001000110001110111111,3,15,3,True
16,16_4.csv,1000001100110011001010100001010000011110100001011001000001100010,3,16,3,True
17,17_4.csv,1001011101110010010110010100111111101110000110000111010001000101,4,17,4,True
18,18_4.csv,1010101101101000000000011110101010001100000101011111010110101110,3,18,3,True
19,19_4.csv,1000101001010110100110111111010000000101010001100111111100010110,2,19,2,True
1,1_4.csv,1000000111101100011111010010111100010111001000111101001110100101,0,1,0,True
20,20_4.csv,1000000100110000111001110010011001100011011010111001101101101111,4,20,4,True
21,21_4.csv,1000000100110000111001000010011001100011011010110011101101111011,33,20,2,False
22,22_4.csv,0101001001000110000001011010000010110100101000011001110101101110,3,22,3,True
23,23_4.csv,0110011110100001010100010110010101111101111010110100000100011000,2,23,2,True
24,24_4.csv,0100011100011011001110111111011010101111001110001110100100011000,6,24,6,True
25,25_4.csv,0111110010111101101100110100011111000000100100111110111110111110,5,25,5,True
26,26_4.csv,0111011001001000101101001110001101010110110101000001110100100000,3,26,3,True
27,27_4.csv,0110110000011101110111001011110011011000000100111100110101110000,4,27,4,True
28,28_4.csv,0101010001100010110011110001000011001101101110010110101010110011,4,28,4,True
29,29_4.csv,0110010010110110000110001011111010000100001001000000100100001011,1,29,1,True
2,2_4.csv,0101111010111000111110100011111011100011000001000111111101011010,35,25,21,False
30,30_4.csv,0111010000101101011100011000001111010111110001110101000000011111,1,30,1,True
31,31_4.csv,0101010101101100101101101101110100000111101010111000010101110100,5,31,5,True
32,32_4.csv,0110000011010110001001010111101111110011100111011011001011100110,0,32,0,True
33,33_4.csv,0111101011110100100000000000011000101010111000101110001011000101,4,33,4,True
34,34_4.csv,0111101011110100100000000000011000111010011001101110001011000001,0,34,0,True
35,35_4.csv,0101010100110111011001101010001011111000000001101001001000100011,5,35,5,True
36,36_4.csv,0100001010101001100011001000111011011001010100000010000101000110,8,36,8,True
38,38_4.csv,0100001010101001100011001100110001101011010000010010111000110111,21,36,10,False
39,39_4.csv,0100010001100111110011110111110100011010010011011001110110011110,4,39,4,True
3,3_4.csv,0101100101100110010011001110001110101110111001110101101111010000,5,3,5,True
40,40_4.csv,0110110010101010001100111011110100110100011110100101011011110011,4,40,4,True
41,41_4.csv,1010010100001110001001100101100111100010011000011110110101010001,1,41,1,True
42,42_4.csv,1010110010101000111010000001101000111111000001001011101110011110,1,42,1,True
43,43_4.csv,1010010010011010011000100000000001011100000110111101101110101000,0,43,0,True
44,44_4.csv,1011100100000010100101001010010110000011100010011001111010001100,2,44,2,True
45,45_4.csv,1010110110111110010001100001000010010011110101110010011011001001,0,45,0,True
46,46_4.csv,1011010110110000010010001000110001111011011100101110100101100110,2,46,2,True
47,47_4.csv,1001011111000000111011111111011011000100100000001001011111010011,1,47,1,True
48,48_4.csv,1001001001011100001000101001110101001001110001110001100111110100,2,48,2,True
49,49_4.csv,1010011101101011000101011001011101100001011110101000111101000010,2,49,2,True
4,4_4.csv,0101101111000111111010100000000011110001000100111001101010011010,6,4,6,True
50,50_4.csv,1011010011011011101011001111001110011000010010100100010000101111,0,50,0,True
51,51_4.csv,1001110100110100000110101011111101011000111100011010010000001111,2,51,2,True
52,52_4.csv,1011010011110001110101000111100110011110010001110010101101010111,3,52,3,True
53,53_4.csv,1010010110100100010011011100010110100010011010101010010010110010,0,53,0,True
54,54_4.csv,1011011011110101110000111111111111011111001000001001011011111100,1,54,1,True
55,55_4.csv,1011100100001010110100010100011000110100000101010000000111101011,2,55,2,True
56,56_4.csv,1001011101011100010101100011011110101010110101010111011000011110,2,56,2,True
57,57_4.csv,1000100100100000101001010001011111110100010100001100000010001100,0,57,0,True
58,58_4.csv,1001110010000000101110111001001110001001011111010100001110100001,1,58,1,True
59,59_4.csv,1010010111010111101101010101100010100001010101011100001000110101,0,59,0,True
5,5_4.csv,1000110011100011011001001100100111000110110100101001110011001110,11,5,11,True
60,60_4.csv,1001100111011011100100111111111101010011101101100111100100010001,0,60,0,True
61,61_4.csv,1011000001101001111010101011001001100000110111010000110000010101,1,61,1,True
62,62_4.csv,1011101000101010110110110110000111110101101000111011000100100000,0,62,0,True
63,63_4.csv,1011010101001101101010010110111001111101011011110000110010011011,1,63,1,True
64,64_4.csv,1010100111001101111100111111000110101011110110011011101010001011,4,64,4,True
65,65_4.csv,1010000111000000011110001100100101000100000011100110001001001000,2,65,2,True
66,66_4.csv,1010111100010111110000000010110110001010101011110001011101110101,1,66,1,True
67,67_4.csv,1011111000111111100011000011100000110000111110000101001110010010,0,67,0,True
68,68_4.csv,1011101000100101000000101110010000011111000111000100011100110011,0,68,0,True
69,69_4.csv,1011001011110111011111101001000111001110011111000010100111011000,1,69,1,True
6,6_4.csv,0101101110011001010011110011100101000111111010010110010010100111,9,6,9,True
70,70_4.csv,1010101100000001100001110101001011101010111100101001101000100110,1,70,1,True
7,7_4.csv,1100110101111001100011100010001110100110111110010100010111001011,4,7,4,True
8,8_4.csv,1011000000110011010110011000101100100011100100101000110010101001,0,8,0,True
9,9_4.csv,1011010010110101100011110111100011100001100111100101110111000110,2,9,2,True
