Device,Single_ID,Multi_ID,Single_Intra_Hamming,Single_Match,Single_Predicted,Multi_Intra_Hamming,Multi_Match,Multi_Predicted
1,1000000111101100011111010010111100010111001000111101001110100101,0000001111100011101101000001110101010100000110110001001101111000,,,,,,
10,1010101111000111111111101000111001011100110001110110010011100111,0010100100000000011101110001010000001110011101010110110011010111,0.0,True,10,1.0,True,10
11,1001011110111000000011111100111100110001101101010010101001001101,0011010100001110110001111001010101010010010110011110011001010010,0.0,True,11,2.0,True,11
12,0111100011101010110000111011111010111010110111101000000000111000,1110101111101101011010101000010100011000101000101010000010011110,4.0,True,12,2.0,True,12
13,1000001101010100111101011100101110111011101010100100111010000011,0000000001011111001100101110010110001000100111100000111101010001,3.0,True,13,1.0,True,13
14,1001111110111100000110010010001011110100100010001100100011101100,0001110100101011010100001011001101000001110001000000010011001110,10.0,True,14,1.0,True,14
15,1001100101101011001110000111010111011010111001000110101110101101,0001101001101100101001001100110010001010111111000000100001100110,3.0,True,15,4.0,True,15
16,1000001100110011001010100001011000011010100001011001000001000010,0000000001111100101000000000100100011000110000011011001110001001,3.0,True,16,3.0,True,16
17,1001011011110010110110010100111101101110000110000111010001000101,0001010101110100000000100101000101101101100011100111001010000010,4.0,True,17,3.0,True,17
18,1010101101101001000000011111101010001100000101011111010110101010,0010100001101110100110011110011000110101000001010111111000111101,3.0,True,18,1.0,True,18
19,1000101001010110100110111111010000000101010001101111111000010110,0000100011010000110000101101101001110101001100100101011110110010,2.0,True,19,1.0,True,19
2,1101100000000001010100111010000111110110101101110100101001100001,0101100110111111001000010001011111111111011111010001110110001101,35.0,False,25,5.0,True,2
20,1000000100110000111001100010011001100011011010110011101101111111,0000101001110111001011000011111001100010101101001100000010111010,4.0,True,20,1.0,True,20
21,0111100100000001010101101100111110010101110010000011111000011110,1111101000010110000111010101010101010100011101000101010010111110,33.0,False,20,7.0,True,21
22,0101001001000100000001011010000010110100101000011001111101101100,1101000011010110100011001000101010001001010111011001110010111010,3.0,True,22,0.0,True,22
23,0110011110100001010100010110010101111101111010110100000000011100,1110010100110100100111101111100011001100001101111010101110101111,2.0,True,23,2.0,True,23
24,0100011100011011011010111111011010100111001110011110100101011100,1100010000010000001010011111111111011000100010000100010010100101,6.0,True,24,4.0,True,24
25,0111110010111101101100100100011111000000100101111110111100011010,1111110010111010111010100111000110100001011000010100111110101111,5.0,True,25,3.0,True,25
26,0111011001001000101101001110001101010111110101000000110000100000,1111010001000111111111001111001100110110011010001011011000011000,3.0,True,26,3.0,True,26
27,0110110000011101110111001011110011011000000100111100110001000001,1110111010011110000101010100111100000011110000110011111110101000,4.0,True,27,2.0,True,27
28,0100010001100010110011010001000111001101101110010110100010110011,1100011011100101000001101000101110101100010011110110111000001001,4.0,True,28,1.0,True,28
29,0110010010110110000110001011111010000100001001000000100100001111,1110011110110001100000010000011111110001010110001010000101010111,1.0,True,29,2.0,True,29
3,0101100101100110010011001110001110011100111100110101101111010000,1101101001110001100001011110001101011101101110010001011100101000,5.0,True,3,5.0,True,3
30,0111010000101101011100011000001111010011110001110101000000011111,1111010011001010001100011001001110000110111100110011001110100110,1.0,True,30,0.0,True,30
31,0101010101101100101101101101110000100111101010111000011101111110,1101011001101111010100110101110001110100100110111000100010111111,5.0,True,31,3.0,True,31
32,0110000011010110001001010111101111110011100111011011001011100110,1110000111110000111011101110010101000110110001011101100001010001,0.0,True,32,1.0,True,32
33,0111101011110100100000000000011000101010011000101111101011000001,1111000111110011010111001101001001011010100100000110001101000000,4.0,True,33,0.0,True,33
34,0111101011110100100000000000011000111010011001101110001011000001,1101000011111011010110000011001001111011110100110011110001000001,0.0,True,34,12.0,True,34
35,0101010100110111011001101010001011111000000001101011000001100101,1101011000110000001111110010001010001001010100101110001111011000,5.0,True,35,0.0,True,35
36,0100001010111001100011001000110001011011010100010010010001010110,1100000110001010111011011101011010100100101010000000100100000000,8.0,True,36,,,
37,,1100000110001010111011011101010010101101101000000000101100001000,,False,36,,,
38,0100001010101001100110001100110110101111111011101101001000111001,1100001110001010011001011101010010111100101111001110011111111011,21.0,False,36,16.0,True,38
39,0100010001000111110011110111110100011010010011011010110110011100,1100010011000001000000101010110100110011011001001100011100100101,4.0,True,39,0.0,True,39
4,0101101111000111111010100000100011110001001101111001100010001011,1101100101000001011000000110110010000011000000111011011101010101,6.0,True,4,2.0,True,4
40,0110110010101010001100111011100100110100011111100101111011110111,1110011110001101111100111000100001010001000111101101111001001000,4.0,True,40,2.0,True,40
41,1010010100001110001001100101100111100010011000011111110101010001,0010011010000001111111110100010111101111101101000110111110101000,1.0,True,41,0.0,True,41
42,1010110010101000111010000001101100111111000001001011101110011110,0010011010101111001000000110000001001110010000001111001000101111,1.0,True,42,0.0,True,42
