Scenario,Cohort_Protocol,ID_Bits,Fold,Bit_Block,Block_Bits,Intra_Mean,Intra_Mean_Normalized,Intra_Std,Intra_Min,Intra_Max,Inter_Mean,Inter_Mean_Normalized,Inter_Std,Inter_Min,Inter_Max,D_Prime
Single-sweep,enrolled_cohort,64,enroll_1_test_2,1-64,64,1.6813559322033897,0.026271186440677965,1.6141882162161734,0.0,11.0,32.05718897728583,0.5008935777700911,3.8951517326549046,13.0,49.0,10.188354724084139
Single-sweep,enrolled_cohort,64,enroll_1_test_3,1-64,64,2.1050847457627118,0.03289194915254237,2.0031797621432768,0.0,14.0,32.06173181136862,0.5009645595526346,3.894810037180932,13.0,48.0,9.67293236674904
Single-sweep,enrolled_cohort,64,enroll_1_test_4,1-64,64,2.3627118644067795,0.03691737288135593,2.1493471802036157,0.0,14.0,32.06673584688112,0.5010427476075175,3.8935342615197035,14.0,49.0,9.445496688946458
Single-sweep,enrolled_cohort,64,enroll_1_test_5,1-64,64,2.5016949152542374,0.03908898305084746,2.2389176446515133,0.0,14.0,32.06673584688112,0.5010427476075175,3.8940909579841425,13.0,49.0,9.308258821503246
Single-sweep,enrolled_cohort,64,enroll_2_test_1,1-64,64,1.505084745762712,0.023516949152542373,1.4114960135243344,0.0,8.0,32.0718090626081,0.5011220166032515,3.8863241294236603,13.0,47.0,10.454872079888881
Single-sweep,enrolled_cohort,64,enroll_2_test_3,1-64,64,1.305084745762712,0.020391949152542374,1.5347919410517952,0.0,14.0,32.074184249971175,0.5011591289057996,3.8820583037516565,14.0,47.0,10.423927703530428
Single-sweep,enrolled_cohort,64,enroll_2_test_4,1-64,64,1.5389830508474576,0.024046610169491524,1.65502912701752,0.0,13.0,32.073792228755906,0.501153003574311,3.884948683303809,14.0,48.0,10.226118416577357
Single-sweep,enrolled_cohort,64,enroll_2_test_5,1-64,64,1.5627118644067797,0.024417372881355932,1.6398417777795742,0.0,13.0,32.07351550789807,0.5011486798109074,3.884900507017464,14.0,48.0,10.232553987124327
Single-sweep,enrolled_cohort,64,enroll_3_test_1,1-64,64,2.0508474576271185,0.03204449152542373,2.072033809884563,0.0,17.0,32.07284676582498,0.5011382307160153,3.883740593281332,15.0,48.0,9.645260712407431
Single-sweep,enrolled_cohort,64,enroll_3_test_2,1-64,64,1.2779661016949153,0.019968220338983052,1.6217136100004221,0.0,14.0,32.076374956762365,0.501193358699412,3.884616801485834,15.0,47.0,10.34686862396065
Single-sweep,enrolled_cohort,64,enroll_3_test_4,1-64,64,1.0440677966101695,0.016313559322033898,1.1133499102253837,0.0,7.0,32.07674391790614,0.5011991237172835,3.8837278842138008,15.0,48.0,10.862647727089984
Single-sweep,enrolled_cohort,64,enroll_3_test_5,1-64,64,1.2474576271186442,0.019491525423728815,1.386199710288483,0.0,9.0,32.07524501325954,0.5011757033321803,3.8878698185202056,14.0,47.0,10.562330537829308
Single-sweep,enrolled_cohort,64,enroll_4_test_1,1-64,64,2.298305084745763,0.035911016949152545,2.0485179249690826,0.0,15.0,32.066366885737345,0.501036982589646,3.8861390213823763,13.0,51.0,9.583050015369565
Single-sweep,enrolled_cohort,64,enroll_4_test_2,1-64,64,1.4677966101694915,0.022934322033898304,1.634496393967644,0.0,13.0,32.068880433529344,0.501076256773896,3.887709012068822,15.0,51.0,10.261583271699303
Single-sweep,enrolled_cohort,64,enroll_4_test_3,1-64,64,1.0271186440677966,0.016048728813559322,1.1806014995931915,0.0,7.0,32.07040239824743,0.5011000374726161,3.881335643205599,15.0,50.0,10.821473200838733
Single-sweep,enrolled_cohort,64,enroll_4_test_5,1-64,64,1.023728813559322,0.015995762711864408,1.182114297317335,0.0,7.0,32.070240977747034,0.5010975152772974,3.8846969405312284,13.0,50.0,10.81285408014419
Single-sweep,enrolled_cohort,64,enroll_5_test_1,1-64,64,2.31864406779661,0.03622881355932203,2.1946498470399893,0.0,15.0,32.06864983281448,0.5010726536377262,3.890079077176708,15.0,48.0,9.419747798678348
Single-sweep,enrolled_cohort,64,enroll_5_test_2,1-64,64,1.6610169491525424,0.025953389830508475,1.7690668731714372,0.0,15.0,32.0718090626081,0.5011220166032515,3.880320506964972,14.0,48.0,10.084824568426951
Single-sweep,enrolled_cohort,64,enroll_5_test_3,1-64,64,1.2677966101694915,0.019809322033898305,1.3091047829114104,0.0,9.0,32.06724316845382,0.501050674507091,3.880440944821628,15.0,48.0,10.635819465216851
Single-sweep,enrolled_cohort,64,enroll_5_test_4,1-64,64,1.088135593220339,0.017002118644067796,1.171818278057668,0.0,7.0,32.07201660325147,0.5011252594258042,3.8790595334499356,14.0,47.0,10.813363110757217
Single-sweep,enrolled_cohort,64,aggregate,1-64,64,1.6167796610169491,0.02526218220338983,1.7488784488093607,0.0,17.0,32.0701256773896,0.5010957137092125,3.8862623806074246,13.0,51.0,10.105849557995219
Multi-sweep,enrolled_cohort,64,test_1,1-64,64,1.9389830508474577,0.030296610169491527,1.8247184993177894,0.0,13.0,32.074368730543064,0.5011620114147354,3.883685027585275,15.0,48.0,9.931940522323844
Multi-sweep,enrolled_cohort,64,test_2,1-64,64,1.1084745762711865,0.01731991525423729,1.4574799021488296,0.0,13.0,32.07872708405396,0.5012301106883431,3.880106078880472,15.0,48.0,10.567076529154297
Multi-sweep,enrolled_cohort,64,test_3,1-64,64,0.9491525423728814,0.014830508474576272,1.1898626344652459,0.0,8.0,32.077274299550325,0.5012074109304738,3.878515429710555,14.0,48.0,10.851024476100024
Multi-sweep,enrolled_cohort,64,test_4,1-64,64,1.0915254237288134,0.01705508474576271,1.181675297493003,0.0,6.0,32.08043352934394,0.5012567738959991,3.877722774365138,14.0,50.0,10.81089500420795
Multi-sweep,enrolled_cohort,64,test_5,1-64,64,1.3728813559322033,0.021451271186440676,1.3438991029094691,0.0,8.0,32.08124063184596,0.5012693848725931,3.8822110835402266,12.0,49.0,10.570996027039115
Multi-sweep,enrolled_cohort,64,aggregate,1-64,64,1.2922033898305085,0.020190677966101696,1.4602513535663306,0.0,13.0,32.07840885506745,0.5012251383604289,3.8804315915499097,12.0,50.0,10.501036549548466
Single-sweep,heldout_sensor_cohort,64,enroll_1_test_2,1-64,64,1.4,0.021875,1.4287684593190138,0.0,5.0,31.567816091954022,0.4932471264367816,4.2265393693821816,17.0,43.0,9.562635943517485
Single-sweep,heldout_sensor_cohort,64,enroll_1_test_3,1-64,64,1.7666666666666666,0.027604166666666666,1.5687318254659988,0.0,5.0,31.617241379310343,0.4940193965517241,4.263142730083757,18.0,44.0,9.293134946900825
Single-sweep,heldout_sensor_cohort,64,enroll_1_test_4,1-64,64,2.1666666666666665,0.033854166666666664,1.9312910338608382,0.0,8.0,31.55977011494253,0.49312140804597704,4.215756508509097,17.0,42.0,8.9642938445221
Single-sweep,heldout_sensor_cohort,64,enroll_1_test_5,1-64,64,2.1333333333333333,0.03333333333333333,2.0800088417141875,0.0,10.0,31.597701149425287,0.4937140804597701,4.244158701868958,16.0,44.0,8.816113076573146
Single-sweep,heldout_sensor_cohort,64,enroll_2_test_1,1-64,64,1.6,0.025,1.4762487408386116,0.0,7.0,31.480459770114944,0.491882183908046,4.312207070966169,20.0,43.0,9.271235417159119
Single-sweep,heldout_sensor_cohort,64,enroll_2_test_3,1-64,64,1.1,0.0171875,1.0288929437289247,0.0,4.0,31.417241379310344,0.4908943965517241,4.355801308540435,19.0,43.0,9.57958247297255
Single-sweep,heldout_sensor_cohort,64,enroll_2_test_4,1-64,64,1.5666666666666667,0.024479166666666666,1.330888563259934,0.0,6.0,31.4816091954023,0.49190014367816093,4.3212757763203635,19.0,43.0,9.35648917660489
Single-sweep,heldout_sensor_cohort,64,enroll_2_test_5,1-64,64,1.7333333333333334,0.027083333333333334,1.638614497453372,0.0,7.0,31.47816091954023,0.4918462643678161,4.341186203051439,19.0,43.0,9.06556353365384
Single-sweep,heldout_sensor_cohort,64,enroll_3_test_1,1-64,64,2.066666666666667,0.03229166666666667,1.4840144374549435,0.0,6.0,31.595402298850576,0.49367816091954025,4.186611023642613,17.0,43.0,9.401479186914337
Single-sweep,heldout_sensor_cohort,64,enroll_3_test_2,1-64,64,1.4,0.021875,0.8944271909999159,0.0,4.0,31.664367816091954,0.4947557471264368,4.192984908419195,18.0,45.0,9.982988947815494
Single-sweep,heldout_sensor_cohort,64,enroll_3_test_4,1-64,64,0.8666666666666667,0.013541666666666667,0.8995528902176072,0.0,3.0,31.664367816091954,0.4947557471264368,4.227968061219956,18.0,44.0,10.075991695563054
Single-sweep,heldout_sensor_cohort,64,enroll_3_test_5,1-64,64,1.2333333333333334,0.019270833333333334,0.8172001541568767,0.0,3.0,31.631034482758622,0.49423491379310347,4.230766003567837,18.0,44.0,9.976600121528909
Single-sweep,heldout_sensor_cohort,64,enroll_4_test_1,1-64,64,2.433333333333333,0.03802083333333333,2.2078751422302303,0.0,9.0,31.497701149425286,0.4921515804597701,4.127916607046253,19.0,42.0,8.780333376076646
Single-sweep,heldout_sensor_cohort,64,enroll_4_test_2,1-64,64,1.5333333333333334,0.023958333333333335,1.4319827906241327,0.0,5.0,31.517241379310345,0.49245689655172414,4.134844688449052,19.0,44.0,9.690518665906788
Single-sweep,heldout_sensor_cohort,64,enroll_4_test_3,1-64,64,1.2333333333333334,0.019270833333333334,1.0400044208570938,0.0,4.0,31.51609195402299,0.4924389367816092,4.167007618022537,19.0,43.0,9.971591770140742
Single-sweep,heldout_sensor_cohort,64,enroll_4_test_5,1-64,64,1.3333333333333333,0.020833333333333332,1.124441112772009,0.0,4.0,31.52413793103448,0.49256465517241377,4.20189462218365,19.0,44.0,9.8158030080282
Single-sweep,heldout_sensor_cohort,64,enroll_5_test_1,1-64,64,2.2666666666666666,0.035416666666666666,1.9815238534040398,0.0,8.0,31.71034482758621,0.4954741379310345,4.066338125361913,19.0,43.0,9.20529846841863
Single-sweep,heldout_sensor_cohort,64,enroll_5_test_2,1-64,64,1.6333333333333333,0.025520833333333333,1.5421286974634216,0.0,8.0,31.764367816091955,0.4963182471264368,4.04017446020942,17.0,47.0,9.853593556320252
Single-sweep,heldout_sensor_cohort,64,enroll_5_test_3,1-64,64,1.3,0.0203125,1.3933338832974773,0.0,7.0,31.764367816091955,0.4963182471264368,4.09477696481728,16.0,44.0,9.96062940573681
Single-sweep,heldout_sensor_cohort,64,enroll_5_test_4,1-64,64,1.3,0.0203125,0.7022132498578064,0.0,2.0,31.78965517241379,0.4967133620689655,4.041571504524137,18.0,44.0,10.511361054298074
Single-sweep,heldout_sensor_cohort,64,aggregate,1-64,64,1.6033333333333333,0.025052083333333332,1.4965699978572222,0.0,10.0,31.591954022988507,0.4936242816091954,4.199675075238997,16.0,47.0,9.512532466294509
Multi-sweep,heldout_sensor_cohort,64,test_1,1-64,64,2.0,0.03125,1.7419766814227708,0.0,7.0,31.388505747126437,0.4904454022988506,4.215796511602482,18.0,47.0,9.11136311506291
Multi-sweep,heldout_sensor_cohort,64,test_2,1-64,64,1.0333333333333334,0.016145833333333335,1.188546876720022,0.0,5.0,31.54597701149425,0.4929058908045977,4.249099399541147,18.0,43.0,9.780022681425125
Multi-sweep,heldout_sensor_cohort,64,test_3,1-64,64,0.8,0.0125,0.924755326447544,0.0,3.0,31.482758620689655,0.49191810344827586,4.283299302009934,17.0,44.0,9.902347070977935
Multi-sweep,heldout_sensor_cohort,64,test_4,1-64,64,1.2,0.01875,1.186126701378962,0.0,5.0,31.551724137931036,0.49299568965517243,4.220228072877542,17.0,45.0,9.79158652020268
Multi-sweep,heldout_sensor_cohort,64,test_5,1-64,64,1.1,0.0171875,0.8847364696279086,0.0,3.0,31.368965517241378,0.49014008620689653,4.192239263787253,15.0,43.0,9.990892499384785
