Scenario,Cohort_Protocol,ID_Bits,Fold,Training_Indices,Authentication_Index,PCA_Training_Devices,Template_Devices,Enrollment_Rows,PCA_Training_Rows,Fit_Seconds,Mean_Transform_Milliseconds,Directed_Impostor_Comparisons,Variance_Explained_By_ID_Components,Intra_Mean,Intra_Mean_Normalized,Intra_Std_Normalized,Intra_Std,Intra_Min,Intra_Q05,Intra_Median,Intra_Q95,Intra_Max,Intra_Count,Inter_Mean,Inter_Mean_Normalized,Inter_Std_Normalized,Inter_Std,Inter_Min,Inter_Q05,Inter_Median,Inter_Q95,Inter_Max,Inter_Count,Fixed_Threshold,FAR_At_Fixed_Threshold,FRR_At_Fixed_Threshold,Descriptive_EER_Threshold,Descriptive_EER,Minimum_Balanced_Error_Threshold,Minimum_Balanced_Error,Empirical_Overlap_Coefficient,Separation_Score,D_Prime
Single-sweep,enrolled_cohort,64,enroll_1_test_2,1,2,295,295,295,295,1.6030394000117667,0.5568077961393332,86730,0.984770228799311,1.6813559322033897,0.026271186440677965,0.02522169087837771,1.6141882162161734,0.0,0.0,1.0,5.0,11.0,295,32.05718897728583,0.5008935777700911,0.060861745822732884,3.8951517326549046,13.0,26.0,32.0,38.0,49.0,86730,8,0.0,0.006779661016949152,11,0.0,11,0.0,0.0,30.375833045082445,10.188354724084139
Single-sweep,enrolled_cohort,64,enroll_1_test_3,1,3,295,295,295,295,1.6374474000185728,0.7127176275697805,86730,0.984770228799311,2.1050847457627118,0.03289194915254237,0.0312996837834887,2.0031797621432768,0.0,0.0,2.0,5.0,14.0,295,32.06173181136862,0.5009645595526346,0.060856406830952066,3.894810037180932,13.0,26.0,32.0,38.0,48.0,86730,8,0.0,0.013559322033898305,14,1.1530035743110804e-05,14,1.1530035743110804e-05,2.3060071486221608e-05,29.956647065605907,9.67293236674904
Single-sweep,enrolled_cohort,64,enroll_1_test_4,1,4,295,295,295,295,1.609733999997843,0.6797332204168,86730,0.984770228799311,2.3627118644067795,0.03691737288135593,0.033583549690681495,2.1493471802036157,0.0,0.0,2.0,6.0,14.0,295,32.06673584688112,0.5010427476075175,0.06083647283624537,3.8935342615197035,14.0,26.0,32.0,38.0,49.0,86730,8,0.0,0.020338983050847456,14,1.1530035743110804e-05,14,1.1530035743110804e-05,2.3060071486221608e-05,29.704023982474343,9.445496688946458
Single-sweep,enrolled_cohort,64,enroll_1_test_5,1,5,295,295,295,295,1.8177888999925926,0.6610986445162256,86730,0.984770228799311,2.5016949152542374,0.03908898305084746,0.034983088197679896,2.2389176446515133,0.0,0.0,2.0,6.0,14.0,295,32.06673584688112,0.5010427476075175,0.06084517121850223,3.8940909579841425,13.0,26.0,32.0,38.0,49.0,86730,8,0.0,0.023728813559322035,14,1.1530035743110804e-05,14,1.1530035743110804e-05,2.3060071486221608e-05,29.565040931626886,9.308258821503246
Single-sweep,enrolled_cohort,64,enroll_2_test_1,2,1,295,295,295,295,1.8273694000090472,1.5411898300398963,86730,0.9849036665525384,1.505084745762712,0.023516949152542373,0.022054625211317725,1.4114960135243344,0.0,0.0,1.0,4.0,8.0,295,32.0718090626081,0.5011220166032515,0.06072381452224469,3.8863241294236603,13.0,26.0,32.0,38.0,47.0,86730,8,0.0,0.0,8,0.0,8,0.0,0.0,30.566724316845384,10.454872079888881
Single-sweep,enrolled_cohort,64,enroll_2_test_3,2,3,295,295,295,295,2.3922348999767564,1.288648472972593,86730,0.9849036665525384,1.305084745762712,0.020391949152542374,0.0239811240789343,1.5347919410517952,0.0,0.0,1.0,4.0,14.0,295,32.074184249971175,0.5011591289057996,0.06065716099611963,3.8820583037516565,14.0,26.0,32.0,38.0,47.0,86730,8,0.0,0.006779661016949152,14,1.1530035743110804e-05,14,1.1530035743110804e-05,2.3060071486221608e-05,30.769099504208462,10.423927703530428
Single-sweep,enrolled_cohort,64,enroll_2_test_4,2,4,295,295,295,295,1.4354426000500098,0.922794573174758,86730,0.9849036665525384,1.5389830508474576,0.024046610169491524,0.02585983010964875,1.65502912701752,0.0,0.0,1.0,4.300000000000011,13.0,295,32.073792228755906,0.501153003574311,0.06070232317662202,3.884948683303809,14.0,26.0,32.0,38.0,48.0,86730,8,0.0,0.006779661016949152,13,0.0,13,0.0,0.0,30.53480917790845,10.226118416577357
Single-sweep,enrolled_cohort,64,enroll_2_test_5,2,5,295,295,295,295,1.7842966999742202,0.9606000002457807,86730,0.9849036665525384,1.5627118644067797,0.024417372881355932,0.025622527777805847,1.6398417777795742,0.0,0.0,1.0,4.0,13.0,295,32.07351550789807,0.5011486798109074,0.060701570422147876,3.884900507017464,14.0,26.0,32.0,38.0,48.0,86730,8,0.0,0.006779661016949152,13,0.0,13,0.0,0.0,30.510803643491293,10.232553987124327
Single-sweep,enrolled_cohort,64,enroll_3_test_1,3,1,295,295,295,295,1.4770114999846555,0.6709427109098661,86730,0.9849221735850369,2.0508474576271185,0.03204449152542373,0.0323755282794463,2.072033809884563,0.0,0.0,2.0,5.300000000000011,17.0,295,32.07284676582498,0.5011382307160153,0.06068344677002081,3.883740593281332,15.0,26.0,32.0,38.0,48.0,86730,8,0.0,0.013559322033898305,17,0.00016142050040355126,17,0.00016142050040355126,0.00020754064337599447,30.02199930819786,9.645260712407431
Single-sweep,enrolled_cohort,64,enroll_3_test_2,3,2,295,295,295,295,1.6466818999615498,0.688211524945889,86730,0.9849221735850369,1.2779661016949153,0.019968220338983052,0.025339275156256596,1.6217136100004221,0.0,0.0,1.0,4.0,14.0,295,32.076374956762365,0.501193358699412,0.060697137523216156,3.884616801485834,15.0,26.0,32.0,38.0,47.0,86730,8,0.0,0.010169491525423728,14,0.0,14,0.0,0.0,30.79840885506745,10.34686862396065
Single-sweep,enrolled_cohort,64,enroll_3_test_4,3,4,295,295,295,295,1.640038600016851,0.672559321944807,86730,0.9849221735850369,1.0440677966101695,0.016313559322033898,0.01739609234727162,1.1133499102253837,0.0,0.0,1.0,3.0,7.0,295,32.07674391790614,0.5011991237172835,0.06068324819084064,3.8837278842138008,15.0,26.0,32.0,38.0,48.0,86730,8,0.0,0.0,7,0.0,7,0.0,0.0,31.032676121295975,10.862647727089984
Single-sweep,enrolled_cohort,64,enroll_3_test_5,3,5,295,295,295,295,1.5717223000247031,0.6885783064131767,86730,0.9849221735850369,1.2474576271186442,0.019491525423728815,0.02165937047325755,1.386199710288483,0.0,0.0,1.0,4.0,9.0,295,32.07524501325954,0.5011757033321803,0.06074796591437821,3.8878698185202056,14.0,26.0,32.0,38.0,47.0,86730,8,0.0,0.003389830508474576,9,0.0,9,0.0,0.0,30.827787386140894,10.562330537829308
Single-sweep,enrolled_cohort,64,enroll_4_test_1,4,1,295,295,295,295,1.5175255000358447,0.7790776295192793,86730,0.9849121191482502,2.298305084745763,0.035911016949152545,0.032008092577641915,2.0485179249690826,0.0,0.0,2.0,6.0,15.0,295,32.066366885737345,0.501036982589646,0.06072092220909963,3.8861390213823763,13.0,26.0,32.0,38.0,51.0,86730,8,0.0,0.013559322033898305,15,2.3060071486221608e-05,15,2.3060071486221608e-05,4.6120142972443216e-05,29.768061800991582,9.583050015369565
Single-sweep,enrolled_cohort,64,enroll_4_test_2,4,2,295,295,295,295,1.5863335999893025,0.7590874557983194,86730,0.9849121191482502,1.4677966101694915,0.022934322033898304,0.025539006155744438,1.634496393967644,0.0,0.0,1.0,4.0,13.0,295,32.068880433529344,0.501076256773896,0.060745453313575344,3.887709012068822,15.0,26.0,32.0,38.0,51.0,86730,8,0.0,0.006779661016949152,13,0.0,13,0.0,0.0,30.601083823359854,10.261583271699303
Single-sweep,enrolled_cohort,64,enroll_4_test_3,4,3,295,295,295,295,1.5349414000520483,0.6892942357808352,86730,0.9849121191482502,1.0271186440677966,0.016048728813559322,0.018446898431143617,1.1806014995931915,0.0,0.0,1.0,3.0,7.0,295,32.07040239824743,0.5011000374726161,0.060645869425087484,3.881335643205599,15.0,26.0,32.0,38.0,50.0,86730,8,0.0,0.0,7,0.0,7,0.0,0.0,31.043283754179633,10.821473200838733
Single-sweep,enrolled_cohort,64,enroll_4_test_5,4,5,295,295,295,295,1.5526438999804668,0.6894457639368662,86730,0.9849121191482502,1.023728813559322,0.015995762711864408,0.01847053589558336,1.182114297317335,0.0,0.0,1.0,3.0,7.0,295,32.070240977747034,0.5010975152772974,0.06069838969580044,3.8846969405312284,13.0,26.0,32.0,38.0,50.0,86730,8,0.0,0.0,7,0.0,7,0.0,0.0,31.04651216418771,10.81285408014419
Single-sweep,enrolled_cohort,64,enroll_5_test_1,5,1,295,295,295,295,1.5460582000087015,0.737043728231121,86730,0.9849231980424146,2.31864406779661,0.03622881355932203,0.03429140385999983,2.1946498470399893,0.0,0.0,2.0,6.0,15.0,295,32.06864983281448,0.5010726536377262,0.060782485580886066,3.890079077176708,15.0,26.0,32.0,38.0,48.0,86730,8,0.0,0.01694915254237288,15,1.1530035743110804e-05,15,1.1530035743110804e-05,2.3060071486221608e-05,29.750005765017868,9.419747798678348
Single-sweep,enrolled_cohort,64,enroll_5_test_2,5,2,295,295,295,295,1.4883180999895558,0.7065928813417331,86730,0.9849231980424146,1.6610169491525424,0.025953389830508475,0.027641669893303706,1.7690668731714372,0.0,0.0,1.0,4.0,15.0,295,32.0718090626081,0.5011220166032515,0.06063000792132769,3.880320506964972,14.0,26.0,32.0,38.0,48.0,86730,8,0.0,0.010169491525423728,15,1.1530035743110804e-05,15,1.1530035743110804e-05,1.1530035743110804e-05,30.410792113455553,10.084824568426951
Single-sweep,enrolled_cohort,64,enroll_5_test_3,5,3,295,295,295,295,2.2999870000057854,0.6781844069028936,86730,0.9849231980424146,1.2677966101694915,0.019809322033898305,0.020454762232990788,1.3091047829114104,0.0,0.0,1.0,3.0,9.0,295,32.06724316845382,0.501050674507091,0.06063188976283794,3.880440944821628,15.0,26.0,32.0,38.0,48.0,86730,8,0.0,0.003389830508474576,9,0.0,9,0.0,0.0,30.79944655828433,10.635819465216851
Single-sweep,enrolled_cohort,64,enroll_5_test_4,5,4,295,295,295,295,2.0463502000202425,0.6485545782814339,86730,0.9849231980424146,1.088135593220339,0.017002118644067796,0.018309660594651063,1.171818278057668,0.0,0.0,1.0,3.0,7.0,295,32.07201660325147,0.5011252594258042,0.060610305210155244,3.8790595334499356,14.0,26.0,32.0,38.0,47.0,86730,8,0.0,0.0,7,0.0,7,0.0,0.0,30.98388101003113,10.813363110757217
Multi-sweep,enrolled_cohort,64,test_1,"2,3,4,5",1,295,295,1180,1180,1.6123260000022128,0.6223861001810785,86730,0.9847766978182305,1.9389830508474577,0.030296610169491527,0.02851122655184046,1.8247184993177894,0.0,0.0,2.0,5.300000000000011,13.0,295,32.074368730543064,0.5011620114147354,0.06068257855601992,3.883685027585275,15.0,26.0,32.0,38.0,48.0,86730,8,0.0,0.006779661016949152,13,0.0,13,0.0,0.0,30.135385679695606,9.931940522323844
