Stage,Window,N_Points,Feature_Count,ID_Bits,Authentication_Folds,Intra_Avg,Intra_Std,Intra_Min,Intra_Max,Inter_Avg,Inter_Std,Inter_Min,Inter_Max,Separation_Score,Score_Fold_Std,Empirical_Overlap_Coefficient,Minimum_Balanced_Error,Minimum_Balanced_Error_Threshold,Variance_Explained_First_5_PCs,Variance_Explained_By_ID_Components,PCs_For_90pct_Variance,PCs_For_95pct_Variance,PCs_For_99pct_Variance,Mean_Absolute_Feature_Correlation,Median_Absolute_Feature_Correlation,Mean_Absolute_Impedance_Adjacent_Correlation,Mean_Absolute_Phase_Adjacent_Correlation,Degradation_Percent
1_Window_Selection,10k-1000k,500,1000,64,5,1.8928813559322033,1.5965267708834117,0,12,32.04882278335063,3.888094343405016,14,48,30.155941427418426,0.39768675779844814,0.0,0.0,12,0.7591542873158763,0.9698036658063101,21.0,43.8,,0.3998662250580213,0.26018145748566235,0.9850374694017126,0.9017084167630536,
1_Window_Selection,10k-100k,500,1000,64,5,2.2277966101694915,1.7054983990018868,0,13,32.04783120027672,3.880478521462814,14,49,29.820034590107227,0.36959036389304445,0.0,0.0,13,0.7306858347425302,0.9788638568416083,21.0,38.0,,0.3571871853584032,0.22207205701729324,0.9943971073452472,0.9589866315328702,
1_Window_Selection,20k-35k,500,1000,64,5,14.658305084745763,3.548824576815457,4,26,32.03873169606826,3.978412661009432,11,50,17.3804266113225,0.22015419958433574,0.021754871440101464,0.010877435720050732,22,0.8470100564519083,0.995172979725296,8.0,12.0,30.8,0.43506024382131364,0.2914867739395985,0.9999584619090223,0.9937528226654045,
1_Window_Selection,60k-100k,500,1000,64,5,5.490169491525424,2.7610156157493724,0,20,32.03366309235559,3.918762850448915,13,49,26.543493600830164,0.6897473690526907,0.0009385449094892195,0.00046927245474460977,17,0.7158948337858593,0.9997110035052923,12.0,16.0,26.0,0.3052476440889533,0.201161648513281,0.9989980115495323,0.997755641933528,
1_Window_Selection,80k-95k,500,1000,64,5,14.982372881355932,4.074238297334892,1,27,32.015948345439874,4.018278268036059,11,50,17.033575464083942,0.6148470139975644,0.04189323186901879,0.020946615934509395,23,0.8599255328260259,0.9999683196055725,6.0,8.0,13.0,0.3586365387669933,0.24770363384600663,0.9998120893807375,0.9996777503027561,
1_Window_Selection,100k-1000k,500,1000,64,5,1.3816949152542373,1.423324257552827,0,11,32.05881240631846,3.872253617085445,13,48,30.677117491064223,0.29020393926511995,0.0,0.0,11,0.8564462073333109,0.9915324079539627,9.0,20.0,60.0,0.46761582390248735,0.3288514982117989,0.996748292407579,0.9728045502515756,
2_Sampling_Reduction,100k-1000k,400,800,64,5,1.488135593220339,1.3774059677724624,0,10,32.05437564856451,3.8714858456816987,14,48,30.56624005534417,0.31034247932985,0.0,0.0,10,0.8564647742001625,0.9915736296587238,9.0,20.0,59.6,0.4674685734933995,0.3289804830948552,0.9951899761057585,0.9597778676886076,0.361433683436357
2_Sampling_Reduction,100k-1000k,300,600,64,5,1.5559322033898304,1.4917538131646049,0,12,32.06289403897152,3.8712365043991332,13,49,30.50696183558169,0.2574856039060032,0.0,0.0,12,0.8564032414114274,0.991592076785684,9.0,20.0,59.4,0.4671905020540956,0.32886458360802184,0.9923291437171372,0.9341984201083718,0.5546663748055709
2_Sampling_Reduction,100k-1000k,250,500,64,5,1.7138983050847458,1.560899673762129,0,13,32.05800991583074,3.8832547473452497,12,49,30.34411161074599,0.3071286358410565,1.3836042891732964e-05,1.0377032168799722e-05,13,0.8563118313199105,0.9916870644700241,9.0,20.0,59.0,0.46677198981878487,0.32924604800087737,0.9899954098639017,0.911920829896691,1.0855188086534926
2_Sampling_Reduction,100k-1000k,200,400,64,5,1.7613559322033898,1.5834963993541957,0,10,32.05371151850571,3.8763215469784584,13,47,30.292355586302318,0.2317787481615065,0.0,0.0,10,0.8567135873842728,0.9919693880126867,9.0,20.0,58.0,0.4663964989243053,0.3279234826087377,0.9865937186024141,0.8814899146671904,1.2542309585442009
