Stage,Window,N_Points,ID_Bits,Authentication_Index,Training_Indices,PC,Explained_Variance_Ratio,Cumulative_Explained_Variance
1_Window_Selection,10k-1000k,500,64,1,"2,3,4,5",1,0.4976434201997949,0.4976434201997949
1_Window_Selection,10k-1000k,500,64,1,"2,3,4,5",2,0.1604915715436253,0.6581349917434203
1_Window_Selection,10k-1000k,500,64,1,"2,3,4,5",3,0.03978521804614187,0.6979202097895622
1_Window_Selection,10k-1000k,500,64,1,"2,3,4,5",4,0.03784566133393161,0.7357658711234938
1_Window_Selection,10k-1000k,500,64,1,"2,3,4,5",5,0.02393915379922001,0.7597050249227137
1_Window_Selection,10k-1000k,500,64,1,"2,3,4,5",6,0.017875573284976878,0.7775805982076907
1_Window_Selection,10k-1000k,500,64,1,"2,3,4,5",7,0.017025086784186728,0.7946056849918773
1_Window_Selection,10k-1000k,500,64,1,"2,3,4,5",8,0.013123863671780507,0.8077295486636579
1_Window_Selection,10k-1000k,500,64,1,"2,3,4,5",9,0.01167408277653629,0.8194036314401941
1_Window_Selection,10k-1000k,500,64,1,"2,3,4,5",10,0.011138436979902744,0.8305420684200968
1_Window_Selection,10k-1000k,500,64,1,"2,3,4,5",11,0.009152259607744673,0.8396943280278415
1_Window_Selection,10k-1000k,500,64,1,"2,3,4,5",12,0.008444564270749416,0.848138892298591
1_Window_Selection,10k-1000k,500,64,1,"2,3,4,5",13,0.007600689664846083,0.855739581963437
1_Window_Selection,10k-1000k,500,64,1,"2,3,4,5",14,0.0072653604245569575,0.863004942387994
1_Window_Selection,10k-1000k,500,64,1,"2,3,4,5",15,0.006358949269156199,0.8693638916571501
1_Window_Selection,10k-1000k,500,64,1,"2,3,4,5",16,0.00633592610560361,0.8756998177627537
1_Window_Selection,10k-1000k,500,64,1,"2,3,4,5",17,0.005998509779874701,0.8816983275426284
1_Window_Selection,10k-1000k,500,64,1,"2,3,4,5",18,0.005534499758161046,0.8872328273007895
1_Window_Selection,10k-1000k,500,64,1,"2,3,4,5",19,0.004920060036993512,0.892152887337783
1_Window_Selection,10k-1000k,500,64,1,"2,3,4,5",20,0.00457974426658977,0.8967326316043728
1_Window_Selection,10k-1000k,500,64,1,"2,3,4,5",21,0.004173245839077854,0.9009058774434506
1_Window_Selection,10k-1000k,500,64,1,"2,3,4,5",22,0.0037465847768659325,0.9046524622203166
1_Window_Selection,10k-1000k,500,64,1,"2,3,4,5",23,0.003387882154430921,0.9080403443747475
1_Window_Selection,10k-1000k,500,64,1,"2,3,4,5",24,0.003248296738285122,0.9112886411130325
