Scenario,ID_Bits,Fold,Training_Indices,Authentication_Index,Devices,Enrollment_Rows,Fit_Seconds,First_5_Fraction_Of_Retained_Kernel_Eigenvalues,Mean_Transform_Milliseconds,Directed_Impostor_Comparisons,Unique_Identifiers,Collision_Rate,Empirical_Codeword_Entropy_Bits,Mean_Absolute_Bit_Bias,Mean_Absolute_Bit_Correlation,Intra_Mean,Intra_Mean_Normalized,Intra_Std,Intra_Min,Intra_Max,Intra_Q05,Intra_Median,Intra_Q95,Intra_Count,Inter_Mean,Inter_Mean_Normalized,Inter_Std,Inter_Min,Inter_Max,Inter_Q05,Inter_Median,Inter_Q95,Inter_Count,Fixed_Threshold,FAR_At_Fixed_Threshold,FRR_At_Fixed_Threshold,Descriptive_EER,Descriptive_EER_Threshold,Minimum_Balanced_Error,Minimum_Balanced_Error_Threshold,Empirical_Overlap_Coefficient
Single-sweep,128,enroll_1_test_2,1,2,295,295,0.1959383999928832,0.6079834567632498,39.33696203363933,86730,295,0.0,8.204571144249204,0.017399364406779652,0.03997977337555825,2.698305084745763,0.021080508474576272,4.593750987798449,0,54,0.0,2.0,8.0,295,64.07409200968523,0.5005788438256659,5.360497329835011,26,91,55.0,64.0,72.0,86730,14,0.0,0.010169491525423728,0.004173872939006111,46,0.003389830508474576,15,0.004369883546638994
Single-sweep,128,enroll_1_test_3,1,3,295,295,0.08960829995339736,0.6079834567632498,40.6536922018612,86730,295,0.0,8.204571144249204,0.017399364406779652,0.03997977337555825,3.450847457627119,0.026959745762711866,4.60073836433456,0,50,0.0,2.0,10.0,295,64.0731234866828,0.5005712772397094,5.357485545669793,19,91,55.0,64.0,72.0,86730,14,0.0,0.020338983050847456,0.0033321803297590223,44,0.002167646719704831,38,0.0029401591144932546
Single-sweep,128,enroll_1_test_4,1,4,295,295,0.11137229995802045,0.6079834567632498,39.54343661188416,86730,295,0.0,8.204571144249204,0.017399364406779652,0.03997977337555825,3.711864406779661,0.0289989406779661,3.739160513015744,0,37,0.0,3.0,10.300000000000011,295,64.07270840539606,0.5005680344171567,5.35962786206834,20,91,55.0,64.0,72.0,86730,14,0.0,0.01694915254237288,0.0003286060186786579,37,0.0003286060186786579,37,0.00012683039317421885
Single-sweep,128,enroll_1_test_5,1,5,295,295,0.09718270000303164,0.6079834567632498,36.34835051064837,86730,295,0.0,8.204571144249204,0.017399364406779652,0.03997977337555825,3.986440677966102,0.03114406779661017,3.8826080733703856,0,35,0.0,3.0,11.0,295,64.07353856796956,0.5005745200622622,5.359965035739505,20,91,55.0,64.0,72.0,86730,14,0.0,0.01694915254237288,0.00022483569699066066,35,0.00022483569699066066,35,0.00016142050040355126
Single-sweep,128,enroll_2_test_1,2,1,295,295,0.09992840001359582,0.6085585164308641,36.0382732238731,86730,295,0.0,8.204571144249204,0.017161016949152536,0.04085497809133259,2.6440677966101696,0.02065677966101695,4.752237968544263,0,54,0.0,2.0,7.300000000000011,295,64.06396863830278,0.5004997549867405,5.394628820276057,24,94,55.0,64.0,72.0,86730,14,0.0,0.006779661016949152,0.00660671048080249,47,0.003389830508474576,13,0.006779661016949152
Single-sweep,128,enroll_2_test_3,2,3,295,295,0.09719100000802428,0.6085585164308641,39.2568627119822,86730,295,0.0,8.204571144249204,0.017161016949152536,0.04085497809133259,2.1966101694915254,0.017161016949152542,6.1352656885096435,0,55,0.0,1.0,5.0,295,64.08029516891503,0.5006273060071487,5.391964737271241,24,90,55.0,64.0,72.0,86730,14,0.0,0.01694915254237288,0.010065721203735731,49,0.006779661016949152,16,0.011368615242707252
Single-sweep,128,enroll_2_test_4,2,4,295,295,0.15191200003027916,0.6085585164308641,38.257593898126316,86730,295,0.0,8.204571144249204,0.017161016949152536,0.04085497809133259,2.48135593220339,0.019385593220338983,5.3679723738945375,0,55,0.0,2.0,6.300000000000011,295,64.07976478727085,0.5006231624005535,5.391089379938265,24,91,55.0,64.0,72.0,86730,14,0.0,0.013559322033898305,0.006497175141242938,47,0.005084745762711864,16,0.007655943733425574
Single-sweep,128,enroll_2_test_5,2,5,295,295,0.11877330002607778,0.6085585164308641,36.47760372841731,86730,295,0.0,8.204571144249204,0.017161016949152536,0.04085497809133259,2.8135593220338984,0.02198093220338983,5.460042162601613,0,55,0.0,2.0,7.0,295,64.0810100311311,0.5006328908682117,5.393681596854913,24,91,55.0,64.0,72.0,86730,14,0.0,0.013559322033898305,0.006526000230600714,47,0.005009800530381644,44,0.007448403090049578
Single-sweep,128,enroll_3_test_1,3,1,295,295,0.09887119999621063,0.6077893092978972,35.650368135864454,86730,295,0.0,8.204571144249204,0.014883474576271176,0.04033031770353209,3.4915254237288136,0.027277542372881356,4.755136432858656,0,52,0.0,2.0,9.0,295,64.0905569007264,0.500707475786925,5.372794067906849,22,89,55.0,64.0,72.0,86730,14,0.0,0.020338983050847456,0.003401360544217687,44,0.0022887120950074945,39,0.0036550213305661244
Single-sweep,128,enroll_3_test_2,3,2,295,295,0.13831750000827014,0.6077893092978972,35.347250845259595,86730,295,0.0,8.204571144249204,0.014883474576271176,0.04033031770353209,2.0338983050847457,0.015889830508474576,5.361002107355037,0,52,0.0,1.0,5.0,295,64.09611437795458,0.5007508935777701,5.373933514393312,23,90,55.0,64.0,72.0,86730,14,0.0,0.01694915254237288,0.00660671048080249,47,0.004133517813905223,40,0.005292286406087859
