Method,ID_Bits,Bits_Per_Feature,Fold,Enrollment_Index,Authentication_Index,Devices,Fit_Seconds,Mean_Transform_Milliseconds,Directed_Impostor_Comparisons,Intra_Mean,Intra_Mean_Normalized,Intra_Std,Intra_Min,Intra_Q05,Intra_Median,Intra_Q95,Intra_Max,Intra_Count,Inter_Mean,Inter_Mean_Normalized,Inter_Std,Inter_Min,Inter_Q05,Inter_Median,Inter_Q95,Inter_Max,Inter_Count,Fixed_Threshold,Fixed_Threshold_Normalized,FAR_At_Fixed_Threshold,FRR_At_Fixed_Threshold,Descriptive_EER,Descriptive_EER_Threshold,Minimum_Balanced_Error,Minimum_Balanced_Error_Threshold,Empirical_Overlap_Coefficient,Unique_Identifiers,Collision_Rate,Empirical_Codeword_Entropy_Bits,Active_Bit_Count,Constant_Bit_Count,Active_Bit_Fraction,Mean_Absolute_Bit_Bias,Mean_Absolute_Bit_Correlation
Direct-Scalar,12,4,enroll_1_test_2,1,2,295,0.007651699997950345,0.07610644087574239,86730,0.3050847457627119,0.025423728813559324,0.7660801650769585,0,0.0,0.0,2.0,4,295,2.0316614781505824,0.1693051231792152,1.2266430152997143,0,0.0,2.0,4.0,12,86730,2,0.16666666666666666,0.676582497405742,0.04745762711864407,0.12683615819209038,0,0.12683615819209038,0,0.2536723163841808,17,0.9423728813559322,3.7197961601151674,12,0,1.0,0.3457627118644067,0.4670335662021243
Direct-Scalar,12,4,enroll_1_test_3,1,3,295,0.00814869999885559,0.12348339048419464,86730,0.43389830508474575,0.03615819209039548,1.0142874194304121,0,0.0,0.0,3.0,10,295,2.062123832583881,0.17184365271532343,1.3133212308488305,0,0.0,2.0,4.0,12,86730,2,0.16666666666666666,0.6710019601060764,0.06779661016949153,0.15555747722817942,0,0.15555747722817942,0,0.3104462123832584,17,0.9423728813559322,3.7197961601151674,12,0,1.0,0.3457627118644067,0.4670335662021243
Direct-Scalar,12,4,enroll_1_test_4,1,4,295,0.013740700029302388,0.13283016870461278,86730,0.5220338983050847,0.04350282485875706,1.022879056131685,0,0.0,0.0,3.0,7,295,2.062354433298743,0.17186286944156193,1.3127746454401388,0,0.0,2.0,4.0,12,86730,2,0.16666666666666666,0.6704023982474345,0.09152542372881356,0.17924593566240055,0,0.17924593566240055,0,0.3554479418886199,17,0.9423728813559322,3.7197961601151674,12,0,1.0,0.3457627118644067,0.4670335662021243
Direct-Scalar,12,4,enroll_1_test_5,1,5,295,0.010769199987407774,0.15261762586059208,86730,0.559322033898305,0.04661016949152542,1.0113503204979764,0,0.0,0.0,3.0,4,295,2.0387639801683384,0.16989699834736152,1.252817624814357,0,0.0,2.0,4.0,12,86730,2,0.16666666666666666,0.6733194972904416,0.09830508474576272,0.24083938660209847,1,0.1893635420269803,0,0.3787270840539606,17,0.9423728813559322,3.7197961601151674,12,0,1.0,0.3457627118644067,0.4670335662021243
Direct-Scalar,12,4,enroll_2_test_1,2,1,295,0.019394800008740276,0.16084305105446758,86730,0.3694915254237288,0.030790960451977403,0.8897095446872136,0,0.0,0.0,3.0,4,295,2.024489795918367,0.16870748299319727,1.2474973906541023,0,0.0,2.0,4.0,12,86730,2,0.16666666666666666,0.6768476882278335,0.061016949152542375,0.13514354894500175,0,0.13514354894500175,0,0.27028709789000344,17,0.9423728813559322,3.6388456176159196,12,0,1.0,0.353954802259887,0.4672901809287728
Direct-Scalar,12,4,enroll_2_test_3,2,3,295,0.014381700020749122,0.1091000004434737,86730,0.23728813559322035,0.01977401129943503,0.8068369215994246,0,0.0,0.0,2.0,8,295,2.049948114839156,0.17082900956992966,1.3309303095133642,0,0.0,2.0,4.0,12,86730,2,0.16666666666666666,0.6752796033667704,0.030508474576271188,0.1028825089357777,0,0.1028825089357777,0,0.20355125100887814,17,0.9423728813559322,3.6388456176159196,12,0,1.0,0.353954802259887,0.4672901809287728
Direct-Scalar,12,4,enroll_2_test_4,2,4,295,0.01502200000686571,0.13022237196880376,86730,0.3525423728813559,0.02937853107344633,0.9391985170830227,0,0.0,0.0,2.0,8,295,2.054537069064914,0.17121142242207618,1.3329750606187154,0,0.0,2.0,4.0,12,86730,2,0.16666666666666666,0.6737922287559092,0.04745762711864407,0.1301568084861063,0,0.1301568084861063,0,0.25812291018102157,17,0.9423728813559322,3.6388456176159196,12,0,1.0,0.353954802259887,0.4672901809287728
Direct-Scalar,12,4,enroll_2_test_5,2,5,295,0.014040299982298166,0.12244067936188589,86730,0.31864406779661014,0.02655367231638418,0.7782053696622453,0,0.0,0.0,2.0,4,295,2.0239132941312117,0.16865944117760098,1.255606499277974,0,0.0,2.0,4.0,12,86730,2,0.16666666666666666,0.6758906952611553,0.03728813559322034,0.13403666551366308,0,0.13403666551366308,0,0.26807333102732617,17,0.9423728813559322,3.6388456176159196,12,0,1.0,0.353954802259887,0.4672901809287728
Direct-Scalar,12,4,enroll_3_test_1,3,1,295,0.017606300010811538,0.12602508324593054,86730,0.49830508474576274,0.041525423728813564,1.0590541803641806,0,0.0,0.0,3.0,7,295,2.051331719128329,0.17094430992736076,1.307858718406974,0,0.0,2.0,4.0,12,86730,2,0.16666666666666666,0.6738037587916522,0.07457627118644068,0.1610284791882855,0,0.1610284791882855,0,0.31901302894038974,18,0.9389830508474576,3.7074704122178948,12,0,1.0,0.3480225988700565,0.4228439209555305
Direct-Scalar,12,4,enroll_3_test_2,3,2,295,0.019172900007106364,0.10725864292106639,86730,0.22033898305084745,0.018361581920903956,0.757452690652818,0,0.0,0.0,1.3000000000000114,7,295,2.04577424190015,0.17048118682501248,1.2911817361171012,0,0.0,2.0,4.0,12,86730,2,0.16666666666666666,0.6743226104000922,0.023728813559322035,0.1006341519658711,0,0.1006341519658711,0,0.19868557592528535,18,0.9389830508474576,3.7074704122178948,12,0,1.0,0.3480225988700565,0.4228439209555305
