Method,Scenario,Seed,ID_Bits,Fold,Training_Indices,Authentication_Index,Devices,Enrollment_Rows,Parameter_Count,Fit_Seconds,Mean_Transform_Milliseconds,Directed_Impostor_Comparisons,Unique_Identifiers,Collision_Rate,Empirical_Codeword_Entropy_Bits,Mean_Absolute_Bit_Bias,Mean_Absolute_Bit_Correlation,Final_Total_Loss,Final_Reconstruction_Loss,Final_Classification_Loss,Final_Balance_Loss,Final_Decorrelation_Loss,Final_Quantization_Loss,Intra_Mean,Intra_Mean_Normalized,Intra_Std,Intra_Min,Intra_Max,Intra_Q05,Intra_Median,Intra_Q95,Intra_Count,Inter_Mean,Inter_Mean_Normalized,Inter_Std,Inter_Min,Inter_Max,Inter_Q05,Inter_Median,Inter_Q95,Inter_Count,Fixed_Threshold,FAR_At_Fixed_Threshold,FRR_At_Fixed_Threshold,Descriptive_EER,Descriptive_EER_Threshold,Minimum_Balanced_Error,Minimum_Balanced_Error_Threshold,Empirical_Overlap_Coefficient
Supervised autoencoder,Single-sweep,20260903,128,enroll_1_test_2,1,2,295,295,2174281,3.785631900012959,0.7787037293537188,86730,294,0.003389830508474523,8.197791483232255,0.0016949152542372614,0.3229642709658875,0.6322214007377625,0.14862896502017975,1.9237651824951172,0.013629056513309479,0.13678216934204102,0.060187362134456635,1.688135593220339,0.013188559322033899,3.451958171769638,0,42,0.0,1.0,4.0,295,64.21201429724432,0.5016563616972213,25.55821363356849,0,118,20.0,66.0,102.0,86730,14,0.02242591952035051,0.010169491525423728,0.011207194742303701,11,0.010307851954341057,9,0.020050732157269685
Supervised autoencoder,Single-sweep,20260903,128,enroll_1_test_3,1,3,295,295,2174281,3.6327611000160687,0.8424681356823924,86730,294,0.003389830508474523,8.197791483232255,0.0016949152542372614,0.3229642709658875,0.6322214007377625,0.14862896502017975,1.9237651824951172,0.013629056513309479,0.13678216934204102,0.060187362134456635,2.176271186440678,0.017002118644067796,4.776940748994596,0,75,0.0,1.0,7.0,295,64.21028479188286,0.5016428499365848,25.554527909732403,0,119,20.0,67.0,102.0,86730,14,0.022518159806295398,0.006779661016949152,0.011455090510780582,10,0.009575694684653522,11,0.019151389369307045
Supervised autoencoder,Single-sweep,20260903,128,enroll_1_test_4,1,4,295,295,2174281,3.5078808999969624,0.7523318659908816,86730,294,0.003389830508474523,8.197791483232255,0.0016949152542372614,0.3229642709658875,0.6322214007377625,0.14862896502017975,1.9237651824951172,0.013629056513309479,0.13678216934204102,0.060187362134456635,2.247457627118644,0.017558262711864406,2.827787044453076,0,29,0.0,2.0,7.0,295,64.2102156116684,0.5016423094661594,25.543756999461205,0,119,20.0,67.0,102.0,86730,14,0.02263346016372651,0.006779661016949152,0.011143779545716591,11,0.011143779545716591,11,0.022287559091433186
Supervised autoencoder,Single-sweep,20260903,128,enroll_1_test_5,1,5,295,295,2174281,3.2700754000106826,0.7572718633544016,86730,294,0.003389830508474523,8.197791483232255,0.0016949152542372614,0.3229642709658875,0.6322214007377625,0.14862896502017975,1.9237651824951172,0.013629056513309479,0.13678216934204102,0.060187362134456635,2.389830508474576,0.018670550847457626,2.527514906746936,0,15,0.0,2.0,7.0,295,64.21010031131097,0.5016414086821169,25.54676402125249,0,119,20.0,67.0,102.0,86730,14,0.022552749913524732,0.003389830508474576,0.0129136400322841,11,0.01113224950997348,13,0.016315000576501787
Supervised autoencoder,Single-sweep,20260903,128,enroll_2_test_1,2,1,295,295,2174281,3.255800699989777,0.8867267807314204,86730,293,0.006779661016949157,8.191011822215307,0.0016949152542372614,0.3261405035519203,0.6598618626594543,0.15020683407783508,2.0277352333068848,0.015541228465735912,0.13225598633289337,0.06216084212064743,1.8508474576271186,0.014459745762711864,3.2802424873736706,0,36,0.0,1.0,6.0,295,64.21132249509974,0.5016509569929667,25.89034544413448,0,124,19.0,67.0,102.0,86730,14,0.026565202352127292,0.010169491525423728,0.01277527960336677,10,0.01134555517122103,9,0.02269111034244206
Supervised autoencoder,Single-sweep,20260903,128,enroll_2_test_3,2,3,295,295,2174281,3.4560342999757268,0.623218981762243,86730,293,0.006779661016949157,8.191011822215307,0.0016949152542372614,0.3261405035519203,0.6598618626594543,0.15020683407783508,2.0277352333068848,0.015541228465735912,0.13225598633289337,0.06216084212064743,1.4440677966101696,0.01128177966101695,5.137837205658678,0,74,0.0,1.0,4.0,295,64.21215265767324,0.5016574426380722,25.80088325638016,0,121,19.0,67.0,101.0,86730,14,0.026530612244897958,0.010169491525423728,0.012636919174449441,10,0.010163726507552174,8,0.01726046350743687
Supervised autoencoder,Single-sweep,20260903,128,enroll_2_test_4,2,4,295,295,2174281,2.9661846999661066,0.5343183085827504,86730,293,0.006779661016949157,8.191011822215307,0.0016949152542372614,0.3261405035519203,0.6598618626594543,0.15020683407783508,2.0277352333068848,0.015541228465735912,0.13225598633289337,0.06216084212064743,1.5864406779661018,0.01239406779661017,3.4362739682298664,0,36,0.0,1.0,4.0,295,64.21153003574311,0.501652578404243,25.79408088317961,0,121,19.0,67.0,101.0,86730,14,0.026230831315577078,0.010169491525423728,0.014158883892540067,11,0.010134901418194396,8,0.02026980283638879
Supervised autoencoder,Single-sweep,20260903,128,enroll_2_test_5,2,5,295,295,2174281,3.1968991000321694,0.5025311876325158,86730,293,0.006779661016949157,8.191011822215307,0.0016949152542372614,0.3261405035519203,0.6598618626594543,0.15020683407783508,2.0277352333068848,0.015541228465735912,0.13225598633289337,0.06216084212064743,1.7322033898305085,0.013532838983050847,3.1057572541583442,0,36,0.0,1.0,5.0,295,64.21109189438488,0.5016491554248819,25.795224318439136,0,121,19.0,67.0,101.0,86730,14,0.026346131673008186,0.006779661016949152,0.01420500403551251,11,0.011339790153349474,9,0.019451170298627925
Supervised autoencoder,Single-sweep,20260903,128,enroll_3_test_1,3,1,295,295,2174281,2.825849900022149,0.5381972868374344,86730,294,0.003389830508474523,8.197791483232255,0.0016949152542372614,0.3491765677727778,0.7034003734588623,0.15599238872528076,2.1776866912841797,0.018184365704655647,0.14805573225021362,0.059653498232364655,2.152542372881356,0.016816737288135594,4.7724177735725695,0,74,0.0,1.0,6.0,295,64.21042315231178,0.5016439308774358,27.279963808405906,0,122,18.0,67.0,104.0,86730,14,0.03289519197509512,0.006779661016949152,0.011385910296321917,9,0.011385910296321917,9,0.022771820592643835
Supervised autoencoder,Single-sweep,20260903,128,enroll_3_test_2,3,2,295,295,2174281,2.7271744000026956,0.5102379654013252,86730,294,0.003389830508474523,8.197791483232255,0.0016949152542372614,0.3491765677727778,0.7034003734588623,0.15599238872528076,2.1776866912841797,0.018184365704655647,0.14805573225021362,0.059653498232364655,1.376271186440678,0.010752118644067797,4.9710843813204155,0,72,0.0,1.0,4.0,295,64.21328260117606,0.501666270321688,27.246677339325537,0,121,18.0,67.0,104.0,86730,14,0.03303355240401245,0.010169491525423728,0.009985010953533956,8,0.008716707021791767,5,0.016095929897382684
