Scenario,ID_Bits,Device,Authentication_Queries,Intra_Mean,Intra_Min,Intra_Max,Verification_Rate,Identification_Rate,Combined_Authentication_Rate
Multi-sweep,128,1,5,1.6,0,4,1.0,1.0,1.0
Multi-sweep,128,10,5,0.8,0,1,1.0,1.0,1.0
Multi-sweep,128,100,5,2.4,0,6,1.0,1.0,1.0
Multi-sweep,128,101,5,4.0,3,6,1.0,1.0,1.0
Multi-sweep,128,102,5,2.8,2,3,1.0,1.0,1.0
Multi-sweep,128,103,5,1.0,0,2,1.0,1.0,1.0
Multi-sweep,128,104,5,1.2,1,2,1.0,1.0,1.0
Multi-sweep,128,105,5,0.8,0,2,1.0,1.0,1.0
Multi-sweep,128,106,5,4.0,2,5,1.0,1.0,1.0
Multi-sweep,128,107,5,4.6,0,11,1.0,1.0,1.0
Multi-sweep,128,108,5,2.0,0,4,1.0,1.0,1.0
Multi-sweep,128,109,5,2.0,1,3,1.0,1.0,1.0
Multi-sweep,128,11,5,2.0,0,5,1.0,1.0,1.0
Multi-sweep,128,110,5,1.0,0,2,1.0,1.0,1.0
Multi-sweep,128,111,5,2.4,0,5,1.0,1.0,1.0
Multi-sweep,128,112,5,1.0,0,2,1.0,1.0,1.0
Multi-sweep,128,113,5,1.2,0,3,1.0,1.0,1.0
Multi-sweep,128,114,5,1.8,0,4,1.0,1.0,1.0
Multi-sweep,128,115,5,0.6,0,2,1.0,1.0,1.0
Multi-sweep,128,116,5,3.0,2,6,1.0,1.0,1.0
Multi-sweep,128,117,5,2.0,1,3,1.0,1.0,1.0
Multi-sweep,128,118,5,0.8,0,2,1.0,1.0,1.0
Multi-sweep,128,119,5,2.8,2,6,1.0,1.0,1.0
Multi-sweep,128,12,5,2.2,0,4,1.0,1.0,1.0
Multi-sweep,128,120,5,1.2,0,3,1.0,1.0,1.0
Multi-sweep,128,121,5,1.0,0,2,1.0,1.0,1.0
Multi-sweep,128,122,5,2.8,0,6,1.0,1.0,1.0
Multi-sweep,128,123,5,5.6,2,10,1.0,1.0,1.0
Multi-sweep,128,124,5,3.8,1,8,1.0,1.0,1.0
Multi-sweep,128,125,5,3.6,1,10,1.0,1.0,1.0
Multi-sweep,128,126,5,3.0,0,6,1.0,1.0,1.0
Multi-sweep,128,127,5,3.8,0,8,1.0,1.0,1.0
Multi-sweep,128,128,5,1.8,1,2,1.0,1.0,1.0
Multi-sweep,128,129,5,3.6,1,6,1.0,1.0,1.0
Multi-sweep,128,13,5,1.0,0,2,1.0,1.0,1.0
Multi-sweep,128,130,5,1.0,0,3,1.0,1.0,1.0
Multi-sweep,128,131,5,1.0,0,3,1.0,1.0,1.0
Multi-sweep,128,132,5,0.8,0,2,1.0,1.0,1.0
Multi-sweep,128,133,5,0.2,0,1,1.0,1.0,1.0
Multi-sweep,128,134,5,1.6,0,3,1.0,1.0,1.0
Multi-sweep,128,135,5,0.6,0,1,1.0,1.0,1.0
Multi-sweep,128,136,5,0.0,0,0,1.0,1.0,1.0
Multi-sweep,128,137,5,0.8,0,2,1.0,1.0,1.0
Multi-sweep,128,138,5,0.8,0,2,1.0,1.0,1.0
Multi-sweep,128,139,5,2.0,0,3,1.0,1.0,1.0
Multi-sweep,128,14,5,0.8,0,1,1.0,1.0,1.0
Multi-sweep,128,140,5,1.8,0,4,1.0,1.0,1.0
Multi-sweep,128,15,5,1.6,0,3,1.0,1.0,1.0
Multi-sweep,128,151,5,4.0,0,7,1.0,1.0,1.0
Multi-sweep,128,152,5,1.0,0,3,1.0,1.0,1.0
Multi-sweep,128,153,5,4.4,3,6,1.0,1.0,1.0
Multi-sweep,128,154,5,3.4,3,4,1.0,1.0,1.0
Multi-sweep,128,155,5,0.8,0,2,1.0,1.0,1.0
Multi-sweep,128,156,5,2.8,0,5,1.0,1.0,1.0
Multi-sweep,128,157,5,1.8,0,5,1.0,1.0,1.0
Multi-sweep,128,158,5,1.2,0,2,1.0,1.0,1.0
Multi-sweep,128,159,5,1.4,0,3,1.0,1.0,1.0
Multi-sweep,128,16,5,1.0,0,3,1.0,1.0,1.0
Multi-sweep,128,160,5,2.0,0,4,1.0,1.0,1.0
Multi-sweep,128,161,5,0.6,0,1,1.0,1.0,1.0
Multi-sweep,128,162,5,2.2,0,5,1.0,1.0,1.0
Multi-sweep,128,163,5,2.4,0,7,1.0,1.0,1.0
Multi-sweep,128,164,5,3.0,1,6,1.0,1.0,1.0
Multi-sweep,128,165,5,1.0,0,2,1.0,1.0,1.0
Multi-sweep,128,166,5,2.2,1,4,1.0,1.0,1.0
Multi-sweep,128,167,5,7.0,0,18,0.8,1.0,0.8
Multi-sweep,128,168,5,3.2,2,5,1.0,1.0,1.0
Multi-sweep,128,169,5,1.0,0,2,1.0,1.0,1.0
Multi-sweep,128,17,5,1.2,0,3,1.0,1.0,1.0
Multi-sweep,128,170,5,2.2,0,4,1.0,1.0,1.0
Multi-sweep,128,171,5,1.4,0,4,1.0,1.0,1.0
Multi-sweep,128,172,5,1.0,0,2,1.0,1.0,1.0
Multi-sweep,128,173,5,0.8,0,2,1.0,1.0,1.0
Multi-sweep,128,174,5,0.6,0,2,1.0,1.0,1.0
Multi-sweep,128,175,5,1.4,0,3,1.0,1.0,1.0
Multi-sweep,128,176,5,1.8,1,3,1.0,1.0,1.0
Multi-sweep,128,177,5,4.0,3,6,1.0,1.0,1.0
Multi-sweep,128,178,5,2.0,1,4,1.0,1.0,1.0
Multi-sweep,128,179,5,2.2,0,3,1.0,1.0,1.0
Multi-sweep,128,18,5,2.8,2,4,1.0,1.0,1.0
Multi-sweep,128,180,5,1.6,0,4,1.0,1.0,1.0
Multi-sweep,128,181,5,0.8,0,2,1.0,1.0,1.0
Multi-sweep,128,182,5,2.0,0,5,1.0,1.0,1.0
Multi-sweep,128,183,5,0.8,0,2,1.0,1.0,1.0
Multi-sweep,128,184,5,1.8,0,4,1.0,1.0,1.0
Multi-sweep,128,185,5,1.8,0,5,1.0,1.0,1.0
Multi-sweep,128,186,5,0.8,0,2,1.0,1.0,1.0
Multi-sweep,128,187,5,6.2,3,8,1.0,1.0,1.0
Multi-sweep,128,188,5,3.0,0,6,1.0,1.0,1.0
Multi-sweep,128,189,5,1.2,0,3,1.0,1.0,1.0
