Method,Scenario,Seed,ID_Bits,Fold,Training_Indices,Authentication_Index,Devices,Enrollment_Rows,Parameter_Count,Fit_Seconds,Mean_Transform_Milliseconds,Directed_Impostor_Comparisons,Unique_Identifiers,Collision_Rate,Empirical_Codeword_Entropy_Bits,Mean_Absolute_Bit_Bias,Mean_Absolute_Bit_Correlation,Final_Total_Loss,Final_Reconstruction_Loss,Final_Balance_Loss,Final_Decorrelation_Loss,Final_Quantization_Loss,Intra_Mean,Intra_Mean_Normalized,Intra_Std,Intra_Min,Intra_Max,Intra_Q05,Intra_Median,Intra_Q95,Intra_Count,Inter_Mean,Inter_Mean_Normalized,Inter_Std,Inter_Min,Inter_Max,Inter_Q05,Inter_Median,Inter_Q95,Inter_Count,Fixed_Threshold,FAR_At_Fixed_Threshold,FRR_At_Fixed_Threshold,Descriptive_EER,Descriptive_EER_Threshold,Minimum_Balanced_Error,Minimum_Balanced_Error_Threshold,Empirical_Overlap_Coefficient
Unsupervised autoencoder,Single-sweep,20260903,128,enroll_1_test_2,1,2,295,295,2136226,2.304479699996591,0.57171220364349,86730,284,0.037288135593220306,8.129994873062763,0.0016949152542372614,0.39714205005262304,0.1636933833360672,0.16000595688819885,0.0052888705395162106,0.044760607182979584,0.2975378930568695,1.9559322033898305,0.015280720338983051,5.009659756883867,0,66,0.0,1.0,6.0,295,64.21072293324109,0.501646272915946,30.10240391308695,0,126,13.0,66.0,109.0,86730,14,0.05763864867981091,0.010169491525423728,0.0283869479995388,8,0.023163841807909605,10,0.04632768361581921
Unsupervised autoencoder,Single-sweep,20260903,128,enroll_1_test_3,1,3,295,295,2136226,3.0685213999968255,0.7016776273149398,86730,284,0.037288135593220306,8.129994873062763,0.0016949152542372614,0.39714205005262304,0.1636933833360672,0.16000595688819885,0.0052888705395162106,0.044760607182979584,0.2975378930568695,2.3491525423728814,0.018352754237288136,6.22017708918881,0,97,0.0,1.0,8.0,295,64.20922402859449,0.5016345627233945,30.079779430126482,0,126,13.0,66.0,109.0,86730,14,0.057903839501902456,0.010169491525423728,0.033344863369076445,10,0.032047734347976475,12,0.06302317537184365
Unsupervised autoencoder,Single-sweep,20260903,128,enroll_1_test_4,1,4,295,295,2136226,2.761649700005364,0.6066616947942224,86730,284,0.037288135593220306,8.129994873062763,0.0016949152542372614,0.39714205005262304,0.1636933833360672,0.16000595688819885,0.0052888705395162106,0.044760607182979584,0.2975378930568695,2.359322033898305,0.01843220338983051,3.036015035190144,0,20,0.0,2.0,8.0,295,64.20936238902341,0.5016356436642454,30.09601993399007,0,125,13.0,66.0,109.0,86730,14,0.05824974057419578,0.013559322033898305,0.03599100657212037,9,0.031822898650985816,10,0.062204542834082784
Unsupervised autoencoder,Single-sweep,20260903,128,enroll_1_test_5,1,5,295,295,2136226,2.7158029999991413,0.5766142372059699,86730,284,0.037288135593220306,8.129994873062763,0.0016949152542372614,0.39714205005262304,0.1636933833360672,0.16000595688819885,0.0052888705395162106,0.044760607182979584,0.2975378930568695,2.4949152542372883,0.019491525423728815,2.9884940198031464,0,20,0.0,2.0,9.0,295,64.2087167070218,0.5016305992736078,30.086168763716387,0,125,13.0,66.0,109.0,86730,14,0.05822668050270956,0.01694915254237288,0.035212729159460394,10,0.031275221953188055,11,0.05085898766286175
Unsupervised autoencoder,Single-sweep,20260903,128,enroll_2_test_1,2,1,295,295,2136226,2.725351499997487,0.5118183049736387,86730,275,0.06779661016949157,8.03938790372988,0.0016949152542372614,0.3901145629298744,0.16426418721675873,0.16056279838085175,0.006250053644180298,0.04369613900780678,0.2951914370059967,1.8677966101694916,0.014592161016949153,4.919019061756159,0,63,0.0,1.0,6.0,295,64.21153003574311,0.501652578404243,30.010556177960638,0,124,13.0,65.0,109.0,86730,14,0.057408047964948694,0.006779661016949152,0.025781159921595756,7,0.02532572350974288,9,0.04700795572466275
Unsupervised autoencoder,Single-sweep,20260903,128,enroll_2_test_3,2,3,295,295,2136226,2.6606826999995974,0.6211562712590005,86730,275,0.06779661016949157,8.03938790372988,0.0016949152542372614,0.3901145629298744,0.16426418721675873,0.16056279838085175,0.006250053644180298,0.04369613900780678,0.2951914370059967,1.4745762711864407,0.011520127118644068,6.7807147803228,0,87,0.0,0.0,4.0,295,64.21275221953188,0.5016621267150928,29.9245678699346,0,124,13.0,66.0,109.0,86730,14,0.05724662746454514,0.010169491525423728,0.016389945808832008,5,0.016389945808832008,5,0.032779891617664016
Unsupervised autoencoder,Single-sweep,20260903,128,enroll_2_test_4,2,4,295,295,2136226,2.6543782000007923,0.5117372879255326,86730,275,0.06779661016949157,8.03938790372988,0.0016949152542372614,0.3901145629298744,0.16426418721675873,0.16056279838085175,0.006250053644180298,0.04369613900780678,0.2951914370059967,1.4983050847457626,0.01170550847457627,4.871738976475036,0,61,0.0,1.0,4.0,295,64.21256773895999,0.5016606854606249,29.952419366442975,0,124,13.0,66.0,109.0,86730,14,0.05703908682116914,0.010169491525423728,0.02217802375187363,7,0.019774011299435026,5,0.03954802259887005
Unsupervised autoencoder,Single-sweep,20260903,128,enroll_2_test_5,2,5,295,295,2136226,2.7096252999981516,0.525864068037925,86730,275,0.06779661016949157,8.03938790372988,0.0016949152542372614,0.3901145629298744,0.16426418721675873,0.16056279838085175,0.006250053644180298,0.04369613900780678,0.2951914370059967,1.664406779661017,0.013003177966101695,4.6808977390551165,0,61,0.0,1.0,5.0,295,64.21208347745878,0.5016569021676467,29.928230890155483,0,125,13.0,66.0,109.0,86730,14,0.056704715784618935,0.006779661016949152,0.020114147353856797,6,0.020114147353856797,6,0.040228294707713594
Unsupervised autoencoder,Single-sweep,20260903,128,enroll_3_test_1,3,1,295,295,2136226,2.5384984999982407,0.6205291526986018,86730,284,0.037288135593220306,8.120656271360515,0.0016949152542372614,0.39010466657401344,0.163753479719162,0.16013628244400024,0.006009314674884081,0.0488196462392807,0.2828536629676819,2.2033898305084745,0.017213983050847457,5.611515313729685,0,90,0.0,1.0,7.0,295,64.20977747031016,0.5016388864867981,30.017239434140077,0,124,13.0,65.0,109.0,86730,14,0.056762365963334484,0.003389830508474576,0.023469387755102038,8,0.023469387755102038,8,0.043203043929436184
Unsupervised autoencoder,Single-sweep,20260903,128,enroll_3_test_2,3,2,295,295,2136226,2.6772998000014923,0.5071915254999205,86730,284,0.037288135593220306,8.120656271360515,0.0016949152542372614,0.39010466657401344,0.163753479719162,0.16013628244400024,0.006009314674884081,0.0488196462392807,0.2828536629676819,1.4813559322033898,0.011573093220338983,6.709128581154157,0,89,0.0,0.0,4.0,295,64.21240631845959,0.5016594243629655,30.004169989793265,0,124,13.0,65.0,109.0,86730,14,0.05679695607056382,0.010169491525423728,0.01701256773895999,6,0.016833852184941774,5,0.03366770436988355
